  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 1970.97	     2859.45	     2789.45
 1981.96	     2860.37	     2788.55
 1992.95	     2861.50	     2787.63
 2003.94	     2862.67	     2786.57
 2014.93	     2863.65	     2785.42
 2025.92	     2864.78	     2784.60
 2036.91	     2866.37	     2783.62
 2047.90	     2867.42	     2782.60
 2058.89	     2868.80	     2781.64
 2069.88	     2870.04	     2780.65
 2080.87	     2871.20	     2779.44
 2091.86	     2872.48	     2778.29
 2102.85	     2873.54	     2777.46
 2113.84	     2874.53	     2776.49
 2124.83	     2875.76	     2775.54
 2135.82	     2877.00	     2774.76
 2146.81	     2878.16	     2773.68
 2157.80	     2879.38	     2772.65
 2168.79	     2880.44	     2771.83
 2179.78	     2881.43	     2770.63
 2190.77	     2882.53	     2769.82
 2201.76	     2883.71	     2768.89
 2212.75	     2884.77	     2767.88
 2223.74	     2885.76	     2767.11
 2234.73	     2886.94	     2766.02
 2245.72	     2888.00	     2764.99
 2256.71	     2889.05	     2764.21
 2267.70	     2889.87	     2763.32
 2278.69	     2890.95	     2762.48
 2289.68	     2891.98	     2761.53
 2300.67	     2893.16	     2760.61
 2311.66	     2894.58	     2759.72
 2322.65	     2895.57	     2758.75
 2333.64	     2896.57	     2757.75
 2344.63	     2897.80	     2757.01
 2355.62	     2898.91	     2756.15
 2366.61	     2899.85	     2755.28
 2377.59	     2900.80	     2754.38
 2388.58	     2902.14	     2753.71
 2399.57	     2903.23	     2753.04
 2410.56	     2904.08	     2752.17
 2421.55	     2905.02	     2751.53
 2432.54	     2906.14	     2750.67
 2443.53	     2907.32	     2749.47
 2454.52	     2908.36	     2748.85
 2465.51	     2909.27	     2748.09
 2476.50	     2910.30	     2747.03
 2487.49	     2911.29	     2746.17
 2498.48	     2912.21	     2745.05
 2509.47	     2913.65	     2743.97
 2520.46	     2914.81	     2743.10
 2531.45	     2915.58	     2742.13
 2542.44	     2916.54	     2741.22
 2553.43	     2917.58	     2740.42
 2564.42	     2918.82	     2739.33
 2575.41	     2919.94	     2738.30
 2586.40	     2920.86	     2737.55
 2597.39	     2921.88	     2736.66
 2608.38	     2922.66	     2735.79
 2619.37	     2923.23	     2734.85
 2630.36	     2924.27	     2733.91
 2641.35	     2925.33	     2732.95
 2652.34	     2926.24	     2731.99
 2663.33	     2927.00	     2731.09
 2674.32	     2928.02	     2730.35
 2685.31	     2928.66	     2729.49
 2696.30	     2929.18	     2728.62
 2707.29	     2930.44	     2727.72
 2718.28	     2931.51	     2727.05
 2729.27	     2932.23	     2726.37
 2740.26	     2933.22	     2725.50
 2751.25	     2934.00	     2724.96
 2762.24	     2934.55	     2723.88
 2773.23	     2935.88	     2722.80
 2784.22	     2936.95	     2722.19
 2795.21	     2937.36	     2721.60
 2806.71	     2938.96	     2720.22
 2818.21	     2940.45	     2718.88
 2829.72	     2941.25	     2717.41
 2841.22	     2943.21	     2715.87
 2852.73	     2944.71	     2714.59
 2870.11	     2948.53	     2711.65
 2876.64	     2949.79	     2710.32
 2886.20	     2951.01	     2709.21
 2895.76	     2350.11	     2314.79
 2908.52	     2349.48	     2315.99
 2921.28	     2348.86	     2316.97
 2932.15	     2348.41	     2317.63
 2943.01	     2347.98	     2318.45
 2953.88	     2347.69	     2319.07
 2964.74	     2347.26	     2319.74
 2975.61	     2346.97	     2320.33
 2986.48	     2346.41	     2320.69
 2997.34	     2346.03	     2321.26
 3008.21	     2345.71	     2321.55
 3019.07	     2345.70	     2322.13
 3029.94	     2345.70	     2322.90
 3040.80	     2345.69	     2323.62
 3051.67	     2345.69	     2324.15
 3062.54	     2345.68	     2324.88
 3073.40	     2345.67	     2325.60
 3084.27	     2346.03	     2326.06
 3095.13	     2346.07	     2326.65
 3106.00	     2346.06	     2327.22
 3116.86	     2346.06	     2327.47
 3127.73	     2346.05	     2328.05
 3138.60	     2346.05	     2328.71
 3149.46	     2346.08	     2329.04
 3160.33	     2346.12	     2329.25
 3171.19	     2346.28	     2329.52
 3182.06	     2346.43	     2329.74
 3192.92	     2346.61	     2329.88
 3203.79	     2346.76	     2330.14
 3214.66	     2346.85	     2330.39
 3225.52	     2346.95	     2330.61
 3236.39	     2347.09	     2330.88
 3247.25	     2347.28	     2331.12
 3258.12	     2347.56	     2331.40
 3268.98	     2347.69	     2331.59
 3279.85	     2347.74	     2331.87
 3290.71	     2347.89	     2332.16
 3301.58	     2347.75	     2332.31
 3312.45	     2348.00	     2332.63
 3323.31	     2348.56	     2332.54
 3334.18	     2348.12	     2332.65
 3345.04	     2345.64	     2332.74
 3355.07	     2346.03	     2332.56
 3365.09	     2346.02	     2332.73
 3375.12	     2346.01	     2332.92
 3385.14	     2346.00	     2333.09
 3395.16	     2345.99	     2333.26
 3405.19	     2345.98	     2333.45
 3415.21	     2345.97	     2333.63
 3425.24	     2345.96	     2333.78
 3435.26	     2345.95	     2333.95
 3445.28	     2345.94	     2334.12
 3455.31	     2345.93	     2334.28
 3465.33	     2345.92	     2334.45
 3475.36	     2345.91	     2334.62
 3485.38	     2345.90	     2334.78
 3495.41	     2345.89	     2334.93
