 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        605.11	     8.97	          18.01	   19.00	          34.74	     6.47	         109.26	   23.56
  J 18	        619.19	    14.14	          27.13	   13.65	          39.18	    12.41	         127.41	   18.11
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2795.05	    41.60	        2792.22	  100.00	           0.00	    78.54	           0.00	    16.79
  J  3	       2816.80	    43.71	        2774.18	  100.00	           0.91	    76.14	           0.98	    15.60
  J 12	       2368.22	    59.13	        2347.86	   23.11	           0.66	    10.27	           0.30	    37.93
  J 13	       2363.74	    56.81	        2355.16	   20.24	           0.05	    14.02	           0.01	    28.46
  J 20	       2368.13	    66.39	        2350.40	   27.65	           1.49	    14.97	           0.45	    43.91
  J 21	       2364.84	    58.11	        2354.39	   25.75	           0.09	    83.54	           0.11	    51.77
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        516.24	     9.00	         516.24	     9.00	        360.78	    97.84	        360.78	    97.84
  J 16	        521.78	    14.32	         522.25	    14.32	        360.75	    97.89	        360.75	    97.89
