    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
  15.800	     -8.695	   2351.605	    2351.605	      0.977	      0.000	      0.000
  16.000	     -8.695	   2351.605	    2351.605	     -1.039	      0.000	     -0.000
  16.200	     -8.704	   2351.597	    2351.597	     -3.127	      0.000	     -0.001
  16.400	     -8.722	   2351.582	    2351.582	     -5.448	      0.000	     -0.004
  16.600	     -8.754	   2351.556	    2351.556	     -8.432	      0.000	     -0.010
  16.800	     -8.798	   2351.519	    2351.519	    -10.844	      0.000	     -0.018
  17.000	     -8.851	   2351.474	    2351.474	    -13.029	      0.000	     -0.025
  17.200	     -8.915	   2351.420	    2351.420	    -15.355	      0.000	     -0.035
  17.400	     -8.986	   2351.358	    2351.358	    -17.253	      0.000	     -0.044
  17.600	     -9.059	   2351.291	    2351.291	    -18.421	      0.000	     -0.050
  17.800	     -9.137	   2351.219	    2351.219	    -19.453	      0.000	     -0.056
  18.000	     -9.224	   2351.142	    2351.142	    -21.171	      0.000	     -0.066
  18.200	     -9.333	   2351.056	    2351.056	    -24.372	      0.000	     -0.088
  18.400	     -9.457	   2350.957	    2350.957	    -27.599	      0.000	     -0.114
  18.600	     -9.599	   2350.846	    2350.846	    -31.375	      0.000	     -0.144
  18.800	     -9.772	   2350.719	    2350.719	    -35.907	      0.000	     -0.191
  19.000	     -9.978	   2350.574	    2350.574	    -41.243	      0.000	     -0.252
  19.200	    -10.229	   2350.406	    2350.406	    -47.609	      0.000	     -0.335
  19.400	    -10.517	   2350.213	    2350.213	    -53.811	      0.000	     -0.430
  19.600	    -10.773	   2350.002	    2350.002	    -56.502	      0.000	     -0.476
  19.800	    -10.976	   2349.789	    2349.789	    -55.673	      0.000	     -0.464
  20.000	    -11.122	   2349.585	    2349.585	    -52.165	      0.000	     -0.407
  20.200	    -11.244	   2349.396	    2349.396	    -47.735	      0.000	     -0.340
  20.400	    -11.374	   2349.222	    2349.222	    -44.419	      0.000	     -0.296
  20.600	    -11.508	   2349.058	    2349.058	    -42.232	      0.000	     -0.266
  20.800	    -11.652	   2348.900	    2348.900	    -41.026	      0.000	     -0.252
  21.000	    -11.790	   2348.747	    2348.747	    -39.774	      0.000	     -0.237
  21.200	    -11.896	   2348.602	    2348.602	    -36.366	      0.000	     -0.198
  21.400	    -11.983	   2348.473	    2348.473	    -32.194	      0.000	     -0.156
  21.600	    -12.067	   2348.358	    2348.358	    -28.897	      0.000	     -0.125
  21.800	    -12.155	   2348.252	    2348.252	    -26.742	      0.000	     -0.107
  22.000	    -12.242	   2348.153	    2348.153	    -25.213	      0.000	     -0.095
  22.200	    -12.316	   2348.061	    2348.061	    -22.673	      0.000	     -0.077
  22.400	    -12.369	   2347.983	    2347.983	    -18.536	      0.000	     -0.052
  22.600	    -12.403	   2347.923	    2347.923	    -13.181	      0.000	     -0.026
  22.800	    -12.423	   2347.885	    2347.885	     -7.172	      0.000	     -0.008
  23.000	    -12.434	   2347.867	    2347.867	     -2.375	      0.000	     -0.001
  23.200	    -12.433	   2347.866	    2347.866	      1.769	      0.000	      0.000
  23.400	    -12.412	   2347.882	    2347.882	      6.671	      0.000	      0.006
  23.600	    -12.360	   2347.918	    2347.918	     12.308	      0.000	      0.022
  23.800	    -12.276	   2347.976	    2347.976	     18.214	      0.000	      0.048
  24.000	    -12.164	   2348.055	    2348.055	     23.340	      0.000	      0.081
  24.200	    -12.042	   2348.151	    2348.151	     26.816	      0.000	      0.107
  24.400	    -11.926	   2348.256	    2348.256	     28.225	      0.000	      0.118
  24.600	    -11.811	   2348.364	    2348.364	     28.940	      0.000	      0.125
  24.800	    -11.684	   2348.476	    2348.476	     30.704	      0.000	      0.140
  25.000	    -11.534	   2348.598	    2348.598	     33.639	      0.000	      0.168
  25.200	    -11.373	   2348.731	    2348.731	     36.372	      0.000	      0.196
  25.400	    -11.214	   2348.871	    2348.871	     37.987	      0.000	      0.215
  25.600	    -11.054	   2349.018	    2349.018	     39.075	      0.000	      0.228
  25.800	    -10.897	   2349.167	    2349.167	     39.709	      0.000	      0.235
  26.000	    -10.739	   2349.319	    2349.319	     40.380	      0.000	      0.242
  26.200	    -10.571	   2349.474	    2349.474	     41.383	      0.000	      0.255
  26.400	    -10.406	   2349.632	    2349.632	     41.982	      0.000	      0.262
  26.600	    -10.248	   2349.791	    2349.791	     41.788	      0.000	      0.261
  26.800	    -10.101	   2349.948	    2349.948	     40.993	      0.000	      0.251
  27.000	     -9.965	   2350.101	    2350.101	     39.498	      0.000	      0.234
  27.200	     -9.827	   2350.249	    2350.249	     38.764	      0.000	      0.224
  27.400	     -9.692	   2350.394	    2350.394	     37.867	      0.000	      0.214
  27.600	     -9.552	   2350.537	    2350.537	     37.623	      0.000	      0.211
  27.800	     -9.406	   2350.680	    2350.680	     37.875	      0.000	      0.214
  28.000	     -9.263	   2350.823	    2350.823	     37.864	      0.000	      0.214
  28.200	     -9.122	   2350.966	    2350.966	     37.682	      0.000	      0.211
  28.400	     -8.975	   2351.110	    2351.110	     37.982	      0.000	      0.216
