  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 1970.97	     2839.13	     2751.43
 1981.96	     2839.79	     2750.77
 1992.95	     2840.41	     2750.00
 2003.94	     2841.00	     2749.33
 2014.93	     2841.59	     2748.62
 2025.92	     2842.41	     2747.95
 2036.91	     2843.17	     2747.33
 2047.90	     2843.87	     2746.71
 2058.89	     2844.57	     2746.10
 2069.88	     2845.16	     2745.60
 2080.87	     2845.78	     2745.03
 2091.86	     2846.40	     2744.51
 2102.85	     2847.04	     2744.02
 2113.84	     2847.64	     2743.52
 2124.83	     2848.29	     2743.01
 2135.82	     2848.87	     2742.53
 2146.81	     2849.45	     2742.08
 2157.80	     2850.00	     2741.54
 2168.79	     2850.64	     2741.11
 2179.78	     2851.20	     2740.56
 2190.77	     2851.59	     2740.08
 2201.76	     2852.20	     2739.62
 2212.75	     2852.66	     2739.01
 2223.74	     2853.17	     2738.43
 2234.73	     2853.67	     2737.98
 2245.72	     2854.13	     2737.61
 2256.71	     2854.40	     2737.11
 2267.70	     2854.76	     2736.71
 2278.69	     2855.31	     2736.33
 2289.68	     2855.78	     2735.85
 2300.67	     2856.20	     2735.47
 2311.66	     2856.63	     2735.09
 2322.65	     2857.11	     2734.77
 2333.64	     2857.46	     2734.51
 2344.63	     2857.78	     2734.20
 2355.62	     2858.23	     2733.80
 2366.61	     2858.53	     2733.40
 2377.59	     2858.91	     2732.98
 2388.58	     2859.26	     2732.55
 2399.57	     2859.58	     2732.19
 2410.56	     2859.85	     2731.81
 2421.55	     2860.20	     2731.38
 2432.54	     2860.43	     2731.01
 2443.53	     2860.73	     2730.70
 2454.52	     2861.05	     2730.41
 2465.51	     2861.69	     2730.15
 2476.50	     2862.47	     2729.79
 2487.49	     2863.20	     2729.42
 2498.48	     2863.86	     2729.16
 2509.47	     2864.43	     2728.95
 2520.46	     2865.02	     2728.58
 2531.45	     2865.69	     2728.32
 2542.44	     2866.26	     2728.11
 2553.43	     2866.94	     2727.95
 2564.42	     2867.52	     2727.82
 2575.41	     2868.07	     2727.57
 2586.40	     2868.54	     2727.18
 2597.39	     2869.12	     2726.82
 2608.38	     2869.53	     2726.42
 2619.37	     2869.76	     2726.04
 2630.36	     2869.97	     2725.67
 2641.35	     2870.33	     2725.33
 2652.34	     2870.49	     2724.97
 2663.33	     2870.66	     2724.68
 2674.32	     2870.89	     2724.43
 2685.31	     2871.05	     2724.13
 2696.30	     2871.11	     2723.87
 2707.29	     2871.27	     2723.66
 2718.28	     2871.44	     2723.47
 2729.27	     2871.73	     2723.33
