  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 1970.97	     2857.22	     2737.63
 1981.96	     2858.36	     2738.85
 1992.95	     2858.73	     2737.75
 2003.94	     2859.12	     2737.99
 2014.93	     2859.86	     2736.42
 2025.92	     2859.83	     2735.54
 2036.91	     2860.61	     2733.55
 2047.90	     2860.71	     2732.65
 2058.89	     2861.35	     2731.62
 2069.88	     2861.54	     2730.14
 2080.87	     2862.29	     2728.22
 2091.86	     2862.66	     2726.84
 2102.85	     2863.00	     2725.37
 2113.84	     2863.78	     2723.87
 2124.83	     2863.76	     2722.33
 2135.82	     2864.34	     2721.17
 2146.81	     2864.69	     2719.66
 2157.80	     2865.06	     2717.97
 2168.79	     2865.40	     2716.08
 2179.78	     2866.19	     2714.79
 2190.77	     2866.29	     2713.29
 2201.76	     2866.85	     2712.00
 2212.75	     2867.13	     2710.40
 2223.74	     2867.56	     2709.11
 2234.73	     2867.37	     2707.54
 2245.72	     2867.93	     2705.63
 2256.71	     2868.09	     2703.96
 2267.70	     2868.37	     2702.24
 2278.69	     2868.35	     2701.06
 2289.68	     2869.04	     2699.62
 2300.67	     2869.23	     2697.99
 2311.66	     2869.51	     2696.30
 2322.65	     2869.84	     2695.18
 2333.64	     2869.84	     2693.97
 2344.63	     2870.07	     2692.57
 2355.62	     2870.33	     2691.01
 2366.61	     2870.65	     2689.47
 2377.59	     2870.87	     2687.80
 2388.58	     2870.83	     2686.26
 2399.57	     2871.14	     2684.90
 2410.56	     2871.36	     2683.50
 2421.55	     2871.67	     2681.88
 2432.54	     2871.81	     2680.33
 2443.53	     2872.18	     2678.77
 2454.52	     2872.61	     2677.33
 2465.51	     2872.99	     2675.90
 2476.50	     2873.37	     2674.37
 2487.49	     2873.59	     2672.91
 2498.48	     2874.06	     2671.35
 2509.47	     2874.27	     2669.79
 2520.46	     2874.50	     2668.19
 2531.45	     2874.96	     2666.94
 2542.44	     2875.05	     2665.49
 2553.43	     2875.51	     2664.06
 2564.42	     2875.56	     2662.42
 2575.41	     2875.96	     2661.07
 2586.40	     2876.15	     2659.71
 2597.39	     2876.75	     2658.37
 2608.38	     2877.02	     2656.85
 2619.37	     2877.32	     2655.38
 2630.36	     2877.80	     2653.91
 2641.35	     2878.40	     2652.56
 2652.34	     2878.67	     2651.23
 2663.33	     2878.67	     2649.84
 2674.32	     2879.42	     2648.36
 2685.31	     2879.85	     2647.08
 2696.30	     2880.16	     2645.90
 2707.29	     2879.93	     2644.71
 2718.28	     2880.88	     2643.12
 2729.27	     2880.84	     2641.65
 2740.26	     2881.62	     2640.37
 2751.25	     2881.71	     2639.18
 2762.24	     2881.60	     2637.77
 2773.23	     2882.46	     2636.43
 2784.22	     2882.34	     2635.15
 2795.21	     2883.19	     2633.97
 2806.71	     2882.54	     2632.29
 2818.21	     2883.43	     2630.71
 2829.72	     2883.25	     2628.62
 2841.22	     2883.05	     2627.04
 2852.73	     2883.87	     2625.38
 2870.11	     2883.13	     2594.37
 2876.64	     2883.01	     2607.94
 2886.20	     2883.04	     2608.76
 2895.76	     2388.97	     2325.64
 2908.52	     2388.31	     2325.64
 2921.28	     2381.95	     2325.64
 2932.15	     2381.20	     2325.65
 2943.01	     2380.37	     2325.66
 2953.88	     2379.51	     2325.67
 2964.74	     2378.57	     2325.68
 2975.61	     2378.61	     2325.70
 2986.48	     2376.93	     2325.70
 2997.34	     2376.15	     2325.70
 3008.21	     2378.92	     2325.70
 3019.07	     2381.88	     2325.72
 3029.94	     2377.97	     2325.73
 3040.80	     2372.88	     2325.75
 3051.67	     2375.13	     2325.76
 3062.54	     2376.39	     2325.77
 3073.40	     2376.91	     2325.76
 3084.27	     2375.58	     2325.77
 3095.13	     2374.89	     2325.77
 3106.00	     2375.25	     2325.78
 3116.86	     2376.17	     2325.80
 3127.73	     2375.33	     2325.81
 3138.60	     2375.28	     2325.83
 3149.46	     2374.50	     2325.85
 3160.33	     2374.07	     2325.87
 3171.19	     2373.30	     2325.91
 3182.06	     2372.71	     2325.94
 3192.92	     2372.83	     2325.98
 3203.79	     2372.68	     2326.03
 3214.66	     2372.42	     2326.09
 3225.52	     2371.38	     2326.14
 3236.39	     2371.05	     2326.20
 3247.25	     2370.71	     2326.25
 3258.12	     2370.49	     2326.30
 3268.98	     2370.14	     2326.36
 3279.85	     2369.73	     2326.44
 3290.71	     2369.60	     2326.51
 3301.58	     2369.25	     2326.58
 3312.45	     2369.38	     2326.66
 3323.31	     2369.06	     2326.74
 3334.18	     2368.62	     2326.81
 3345.04	     2363.11	     2326.87
 3355.07	     2363.09	     2326.96
 3365.09	     2362.80	     2327.26
 3375.12	     2362.52	     2327.57
 3385.14	     2362.30	     2327.84
 3395.16	     2362.04	     2328.14
 3405.19	     2361.75	     2328.46
 3415.21	     2361.53	     2328.74
 3425.24	     2361.29	     2329.02
 3435.26	     2361.00	     2329.33
 3445.28	     2360.75	     2329.61
 3455.31	     2360.50	     2329.88
 3465.33	     2360.24	     2330.21
 3475.36	     2359.96	     2330.51
 3485.38	     2359.74	     2330.78
 3495.41	     2359.49	     2331.09
 3505.43	     2359.18	     2331.41
 3515.45	     2358.96	     2331.68
 3525.48	     2358.73	     2331.93
 3535.50	     2358.45	     2332.30
 3545.53	     2358.14	     2332.62
 3555.55	     2357.95	     2332.90
 3565.57	     2357.68	     2333.18
 3575.60	     2357.39	     2333.52
 3585.62	     2357.14	     2333.81
 3595.65	     2356.92	     2334.08
 3605.67	     2356.62	     2334.39
 3615.69	     2356.34	     2334.69
 3625.72	     2356.10	     2334.97
 3635.74	     2355.82	     2335.28
 3645.77	     2355.54	     2335.61
 3655.79	     2355.30	     2335.90
 3665.82	     2355.05	     2336.20
 3675.84	     2354.74	     2336.52
 3685.86	     2354.50	     2336.79
 3695.89	     2354.25	     2337.07
 3705.91	     2353.67	     2337.53
 3716.05	     2353.45	     2337.73
 3726.19	     2353.10	     2338.03
 3736.32	     2352.75	     2338.33
 3746.46	     2352.41	     2338.62
 3756.59	     2352.06	     2338.92
 3766.73	     2351.72	     2339.22
 3776.87	     2351.37	     2339.51
 3787.00	     2351.03	     2339.81
 3797.14	     2350.68	     2340.11
 3807.28	     2350.34	     2340.40
 3817.41	     2349.99	     2340.70
 3827.55	     2349.65	     2340.99
 3837.69	     2349.30	     2341.30
 3847.82	     2348.95	     2341.60
 3857.96	     2348.61	     2341.90
 3868.10	     2348.26	     2342.20
 3878.23	     2347.91	     2342.50
 3888.37	     2347.56	     2342.80
 3898.51	     2347.21	     2343.10
 3908.64	     2346.87	     2343.41
 3918.78	     2346.52	     2343.71
 3928.92	     2346.17	     2344.01
 3939.05	     2345.82	     2344.31
 3949.19	     2345.48	     2344.61
 3959.33	     2345.00	     2345.00
