    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.643	   2345.643	    2345.643	      0.000	      0.000	      0.000
   0.400	      0.642	   2345.642	    2345.642	     -0.091	      0.000	     -0.000
   0.800	      0.637	   2345.637	    2345.637	     -1.068	      0.000	     -0.000
   1.200	      0.627	   2345.627	    2345.627	     -1.075	      0.000	     -0.000
   1.600	      0.616	   2345.616	    2345.616	     -1.633	      0.000	     -0.000
   2.000	      0.605	   2345.605	    2345.605	     -1.706	      0.000	     -0.000
   2.400	      0.592	   2345.593	    2345.593	     -2.025	      0.000	     -0.001
   2.800	      0.574	   2345.575	    2345.575	     -2.606	      0.000	     -0.001
   3.200	      0.545	   2345.548	    2345.548	     -4.495	      0.000	     -0.003
   3.600	      0.499	   2345.506	    2345.506	     -6.835	      0.000	     -0.007
   4.000	      0.431	   2345.443	    2345.443	     -8.915	      0.000	     -0.012
   4.400	      0.348	   2345.366	    2345.366	    -11.127	      0.000	     -0.018
   4.800	      0.253	   2345.277	    2345.277	    -12.760	      0.000	     -0.024
   5.200	      0.139	   2345.173	    2345.173	    -15.103	      0.000	     -0.034
   5.600	      0.002	   2345.048	    2345.048	    -17.538	      0.000	     -0.046
   6.000	     -0.174	   2344.897	    2344.897	    -21.944	      0.000	     -0.071
   6.400	     -0.382	   2344.717	    2344.717	    -26.053	      0.000	     -0.100
   6.800	     -0.618	   2344.508	    2344.508	    -29.182	      0.000	     -0.126
   7.200	     -0.869	   2344.278	    2344.278	    -31.384	      0.000	     -0.146
   7.600	     -1.131	   2344.032	    2344.032	    -32.997	      0.000	     -0.163
   8.000	     -1.407	   2343.775	    2343.775	    -34.825	      0.000	     -0.182
   8.400	     -1.699	   2343.503	    2343.503	    -37.010	      0.000	     -0.203
   8.800	     -2.025	   2343.212	    2343.212	    -39.865	      0.000	     -0.236
   9.200	     -2.360	   2342.902	    2342.902	    -41.760	      0.000	     -0.261
   9.600	     -2.712	   2342.577	    2342.577	    -44.073	      0.000	     -0.289
  10.000	     -3.049	   2342.242	    2342.242	    -44.303	      0.000	     -0.291
  10.400	     -3.387	   2341.906	    2341.906	    -44.374	      0.000	     -0.293
  10.800	     -3.736	   2341.569	    2341.569	    -45.255	      0.000	     -0.306
  11.200	     -4.136	   2341.214	    2341.214	    -48.557	      0.000	     -0.350
  11.600	     -4.627	   2340.823	    2340.823	    -55.131	      0.000	     -0.450
  12.000	     -5.201	   2340.377	    2340.377	    -62.327	      0.000	     -0.578
  12.400	     -5.846	   2339.876	    2339.876	    -69.710	      0.000	     -0.722
  12.800	     -6.478	   2339.332	    2339.332	    -73.751	      0.000	     -0.810
  13.200	     -7.069	   2338.766	    2338.766	    -74.797	      0.000	     -0.835
  13.600	     -7.559	   2338.210	    2338.210	    -71.891	      0.000	     -0.769
  14.000	     -8.043	   2337.676	    2337.676	    -69.473	      0.000	     -0.719
  14.400	     -8.543	   2337.155	    2337.155	    -68.209	      0.000	     -0.699
  14.800	     -9.017	   2336.641	    2336.641	    -66.269	      0.000	     -0.658
  15.200	     -9.447	   2336.150	    2336.150	    -63.245	      0.000	     -0.597
  15.600	     -9.800	   2335.694	    2335.694	    -57.444	      0.000	     -0.494
  16.000	    -10.048	   2335.294	    2335.294	    -47.630	      0.000	     -0.342
  16.400	    -10.211	   2334.977	    2334.977	    -35.073	      0.000	     -0.188
  16.800	    -10.325	   2334.757	    2334.757	    -23.278	      0.000	     -0.082
  17.200	    -10.407	   2334.620	    2334.620	    -13.198	      0.000	     -0.027
  17.600	    -10.456	   2334.549	    2334.549	     -5.792	      0.000	     -0.005
  18.000	    -10.467	   2334.533	    2334.533	      1.532	      0.000	      0.000
  18.400	    -10.432	   2334.561	    2334.561	      7.087	      0.000	      0.007
  18.800	    -10.322	   2334.645	    2334.645	     15.128	      0.000	      0.033
  19.200	    -10.120	   2334.794	    2334.794	     24.167	      0.000	      0.086
  19.600	     -9.872	   2335.000	    2335.000	     29.416	      0.000	      0.128
  20.000	     -9.616	   2335.234	    2335.234	     31.869	      0.000	      0.150
  20.400	     -9.383	   2335.474	    2335.474	     30.797	      0.000	      0.143
  20.800	     -9.175	   2335.701	    2335.701	     28.736	      0.000	      0.124
  21.200	     -8.976	   2335.912	    2335.912	     27.491	      0.000	      0.112
  21.600	     -8.741	   2336.127	    2336.127	     29.836	      0.000	      0.132
  22.000	     -8.464	   2336.366	    2336.366	     33.818	      0.000	      0.170
  22.400	     -8.145	   2336.639	    2336.639	     38.302	      0.000	      0.217
  22.800	     -7.793	   2336.944	    2336.944	     42.078	      0.000	      0.264
  23.200	     -7.458	   2337.268	    2337.268	     42.788	      0.000	      0.274
  23.600	     -7.147	   2337.591	    2337.591	     41.918	      0.000	      0.262
  24.000	     -6.860	   2337.901	    2337.901	     39.946	      0.000	      0.239
  24.400	     -6.590	   2338.196	    2338.196	     37.827	      0.000	      0.215
  24.800	     -6.321	   2338.478	    2338.478	     36.689	      0.000	      0.201
  25.200	     -6.044	   2338.756	    2338.756	     36.701	      0.000	      0.200
  25.600	     -5.779	   2339.029	    2339.029	     35.863	      0.000	      0.193
  26.000	     -5.519	   2339.298	    2339.298	     35.028	      0.000	      0.183
  26.400	     -5.260	   2339.562	    2339.562	     34.547	      0.000	      0.178
  26.800	     -5.025	   2339.816	    2339.816	     32.534	      0.000	      0.158
  27.200	     -4.797	   2340.057	    2340.057	     31.284	      0.000	      0.146
  27.600	     -4.552	   2340.296	    2340.296	     31.883	      0.000	      0.152
  28.000	     -4.314	   2340.540	    2340.540	     31.195	      0.000	      0.146
  28.400	     -4.113	   2340.765	    2340.765	     28.592	      0.000	      0.122
  28.800	     -3.932	   2340.970	    2340.970	     25.638	      0.000	      0.098
  29.200	     -3.793	   2341.145	    2341.145	     20.110	      0.000	      0.062
  29.600	     -3.694	   2341.276	    2341.276	     14.070	      0.000	      0.031
  30.000	     -3.630	   2341.359	    2341.359	      8.439	      0.000	      0.011
  30.400	     -3.593	   2341.403	    2341.403	      5.274	      0.000	      0.004
  30.800	     -3.541	   2341.452	    2341.452	      7.032	      0.000	      0.007
  31.200	     -3.469	   2341.517	    2341.517	      9.752	      0.000	      0.014
  31.600	     -3.374	   2341.602	    2341.602	     12.674	      0.000	      0.024
  32.000	     -3.277	   2341.698	    2341.698	     12.767	      0.000	      0.024
