    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.643	   2345.643	    2345.643	      0.000	      0.000	      0.000
   0.400	      0.642	   2345.642	    2345.642	     -0.091	      0.000	     -0.000
   0.800	      0.636	   2345.636	    2345.636	     -1.330	      0.000	     -0.000
   1.200	      0.620	   2345.621	    2345.621	     -2.354	      0.000	     -0.001
   1.600	      0.595	   2345.597	    2345.597	     -3.637	      0.000	     -0.002
   2.000	      0.567	   2345.569	    2345.569	     -4.286	      0.000	     -0.003
   2.400	      0.528	   2345.533	    2345.533	     -5.741	      0.000	     -0.005
   2.800	      0.473	   2345.482	    2345.482	     -7.617	      0.000	     -0.009
   3.200	      0.396	   2345.413	    2345.413	    -10.725	      0.000	     -0.017
   3.600	      0.282	   2345.316	    2345.316	    -15.008	      0.000	     -0.033
   4.000	      0.137	   2345.186	    2345.186	    -18.113	      0.000	     -0.049
   4.400	     -0.022	   2345.040	    2345.040	    -20.385	      0.000	     -0.062
   4.800	     -0.197	   2344.878	    2344.878	    -22.601	      0.000	     -0.075
   5.200	     -0.399	   2344.697	    2344.697	    -25.415	      0.000	     -0.096
   5.600	     -0.621	   2344.494	    2344.494	    -27.807	      0.000	     -0.115
   6.000	     -0.892	   2344.265	    2344.265	    -32.561	      0.000	     -0.157
   6.400	     -1.199	   2344.003	    2344.003	    -37.021	      0.000	     -0.202
   6.800	     -1.532	   2343.710	    2343.710	    -40.381	      0.000	     -0.242
   7.200	     -1.893	   2343.391	    2343.391	    -43.731	      0.000	     -0.284
   7.600	     -2.278	   2343.046	    2343.046	    -46.626	      0.000	     -0.324
   8.000	     -2.683	   2342.683	    2342.683	    -49.461	      0.000	     -0.366
   8.400	     -3.128	   2342.294	    2342.294	    -53.391	      0.000	     -0.422
   8.800	     -3.646	   2341.868	    2341.868	    -58.863	      0.000	     -0.515
   9.200	     -4.200	   2341.404	    2341.404	    -63.637	      0.000	     -0.604
   9.600	     -4.820	   2340.901	    2340.901	    -69.699	      0.000	     -0.721
  10.000	     -5.463	   2340.355	    2340.355	    -74.290	      0.000	     -0.818
  10.400	     -6.064	   2339.785	    2339.785	    -75.489	      0.000	     -0.849
  10.800	     -6.581	   2339.221	    2339.221	    -73.229	      0.000	     -0.803
  11.200	     -7.091	   2338.673	    2338.673	    -71.573	      0.000	     -0.764
  11.600	     -7.600	   2338.135	    2338.135	    -70.153	      0.000	     -0.735
  12.000	     -8.056	   2337.614	    2337.614	    -66.793	      0.000	     -0.669
  12.400	     -8.484	   2337.120	    2337.120	    -63.502	      0.000	     -0.603
  12.800	     -8.836	   2336.661	    2336.661	    -57.509	      0.000	     -0.497
  13.200	     -9.131	   2336.251	    2336.251	    -50.475	      0.000	     -0.382
  13.600	     -9.393	   2335.894	    2335.894	    -43.870	      0.000	     -0.287
  14.000	     -9.646	   2335.581	    2335.581	    -38.995	      0.000	     -0.227
  14.400	     -9.894	   2335.301	    2335.301	    -35.951	      0.000	     -0.195
  14.800	    -10.192	   2335.020	    2335.020	    -37.540	      0.000	     -0.211
  15.200	    -10.517	   2334.724	    2334.724	    -40.329	      0.000	     -0.241
  15.600	    -10.802	   2334.424	    2334.424	    -38.913	      0.000	     -0.226
  16.000	    -11.064	   2334.137	    2334.137	    -36.639	      0.000	     -0.201
  16.400	    -11.286	   2333.873	    2333.873	    -32.476	      0.000	     -0.159
  16.800	    -11.496	   2333.638	    2333.638	    -29.872	      0.000	     -0.134
  17.200	    -11.728	   2333.412	    2333.412	    -30.876	      0.000	     -0.140
  17.600	    -12.014	   2333.164	    2333.164	    -34.723	      0.000	     -0.179
  18.000	    -12.312	   2332.891	    2332.891	    -36.818	      0.000	     -0.202
  18.400	    -12.564	   2332.616	    2332.616	    -34.523	      0.000	     -0.179
  18.800	    -12.751	   2332.375	    2332.375	    -28.841	      0.000	     -0.125
  19.200	    -12.890	   2332.182	    2332.182	    -21.854	      0.000	     -0.072
  19.600	    -12.988	   2332.043	    2332.043	    -14.217	      0.000	     -0.031
  20.000	    -13.034	   2331.970	    2331.970	     -5.203	      0.000	     -0.005
  20.400	    -13.041	   2331.959	    2331.959	      1.539	      0.000	      0.000
  20.800	    -13.006	   2331.988	    2331.988	      6.152	      0.000	      0.005
  21.200	    -12.931	   2332.052	    2332.052	     10.898	      0.000	      0.017
  21.600	    -12.813	   2332.153	    2332.153	     15.189	      0.000	      0.034
  22.000	    -12.677	   2332.277	    2332.277	     17.739	      0.000	      0.047
  22.400	    -12.521	   2332.419	    2332.419	     20.150	      0.000	      0.060
  22.800	    -12.357	   2332.577	    2332.577	     21.114	      0.000	      0.067
  23.200	    -12.204	   2332.735	    2332.735	     20.153	      0.000	      0.061
  23.600	    -12.053	   2332.887	    2332.887	     20.032	      0.000	      0.060
  24.000	    -11.903	   2333.038	    2333.038	     19.926	      0.000	      0.059
  24.400	    -11.752	   2333.188	    2333.188	     19.936	      0.000	      0.060
  24.800	    -11.595	   2333.342	    2333.342	     20.580	      0.000	      0.063
  25.200	    -11.424	   2333.504	    2333.504	     22.105	      0.000	      0.072
  25.600	    -11.251	   2333.672	    2333.672	     22.646	      0.000	      0.077
  26.000	    -11.093	   2333.840	    2333.840	     21.165	      0.000	      0.067
  26.400	    -10.946	   2333.995	    2333.995	     19.911	      0.000	      0.059
  26.800	    -10.805	   2334.142	    2334.142	     18.825	      0.000	      0.053
  27.200	    -10.685	   2334.276	    2334.276	     16.040	      0.000	      0.039
  27.600	    -10.610	   2334.374	    2334.374	     10.059	      0.000	      0.015
  28.000	    -10.500	   2334.466	    2334.466	     15.327	      0.000	      0.034
  28.400	    -10.307	   2334.612	    2334.612	     23.521	      0.000	      0.081
  28.800	    -10.105	   2334.800	    2334.800	     25.212	      0.000	      0.095
  29.200	     -9.917	   2334.989	    2334.989	     25.091	      0.000	      0.094
  29.600	     -9.644	   2335.204	    2335.204	     32.117	      0.000	      0.152
  30.000	     -9.357	   2335.459	    2335.459	     35.162	      0.000	      0.184
  30.400	     -9.083	   2335.728	    2335.728	     35.626	      0.000	      0.189
  30.800	     -8.788	   2336.005	    2336.005	     37.326	      0.000	      0.207
  31.200	     -8.476	   2336.295	    2336.295	     39.265	      0.000	      0.229
  31.600	     -8.148	   2336.600	    2336.600	     41.158	      0.000	      0.252
