 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        660.99	     9.48	          30.95	   27.22	          37.30	     6.92	          86.92	   19.68
  J 18	        646.01	    10.06	          24.97	   11.88	          41.72	     7.78	         106.43	   16.52
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2808.59	    37.46	        2806.91	    1.24	           0.00	    58.60	           0.00	    14.56
  J  3	       2827.18	    38.46	        2805.27	    1.36	           0.34	    60.00	           1.43	    13.94
  J 12	       2355.80	    57.46	        2331.96	   20.30	           0.86	    10.28	           0.54	    38.88
  J 13	       2350.43	    53.98	        2338.62	   21.72	           0.05	    15.16	           0.06	    27.86
  J 20	       2351.01	    49.64	        2334.53	   17.94	           0.85	    13.02	           0.46	    40.98
  J 21	       2350.91	    54.10	        2339.39	   22.02	           0.14	    59.84	           0.14	    48.64
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        583.99	     9.46	         583.99	     9.46	        368.94	    17.84	        368.94	    17.84
  J 16	        575.05	    10.08	         574.57	    10.08	        345.97	    17.90	        303.07	    59.86
