  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 1970.97	     2861.47	     2732.92
 1981.96	     2862.50	     2731.72
 1992.95	     2863.60	     2730.59
 2003.94	     2864.64	     2729.30
 2014.93	     2865.72	     2728.12
 2025.92	     2866.84	     2726.86
 2036.91	     2867.88	     2725.36
 2047.90	     2868.89	     2723.98
 2058.89	     2870.09	     2722.65
 2069.88	     2871.24	     2721.37
 2080.87	     2872.36	     2719.96
 2091.86	     2873.55	     2718.73
 2102.85	     2874.68	     2717.53
 2113.84	     2875.69	     2716.23
 2124.83	     2876.85	     2715.05
 2135.82	     2877.97	     2714.02
 2146.81	     2879.13	     2712.76
 2157.80	     2880.28	     2711.81
 2168.79	     2881.21	     2710.80
 2179.78	     2882.38	     2709.84
 2190.77	     2883.71	     2708.92
 2201.76	     2885.24	     2708.02
 2212.75	     2886.85	     2707.14
 2223.74	     2888.26	     2706.41
 2234.73	     2889.62	     2705.66
 2245.72	     2890.97	     2704.89
 2256.71	     2892.32	     2704.21
 2267.70	     2893.84	     2703.63
 2278.69	     2895.35	     2702.94
 2289.68	     2896.68	     2702.26
 2300.67	     2897.88	     2701.91
 2311.66	     2899.12	     2701.58
 2322.65	     2900.24	     2700.93
 2333.64	     2901.42	     2700.21
 2344.63	     2902.60	     2699.37
 2355.62	     2903.66	     2698.33
 2366.61	     2904.64	     2697.41
 2377.59	     2905.76	     2696.52
 2388.58	     2906.92	     2695.64
 2399.57	     2907.93	     2694.76
 2410.56	     2908.73	     2693.94
 2421.55	     2909.68	     2693.12
 2432.54	     2910.60	     2692.42
 2443.53	     2911.50	     2691.73
 2454.52	     2912.30	     2691.09
 2465.51	     2912.97	     2690.42
 2476.50	     2913.63	     2689.78
 2487.49	     2914.26	     2689.22
 2498.48	     2914.92	     2688.79
 2509.47	     2915.58	     2688.44
 2520.46	     2916.16	     2688.11
 2531.45	     2916.64	     2687.73
 2542.44	     2916.97	     2686.97
 2553.43	     2917.11	     2686.33
 2564.42	     2917.11	     2685.71
 2575.41	     2917.12	     2685.13
 2586.40	     2917.02	     2684.52
 2597.39	     2916.92	     2683.98
 2608.38	     2916.84	     2683.44
 2619.37	     2916.74	     2682.98
 2630.36	     2916.60	     2682.56
 2641.35	     2916.30	     2682.14
 2652.34	     2916.48	     2681.94
 2663.33	     2917.03	     2681.69
 2674.32	     2917.67	     2681.50
 2685.31	     2918.27	     2681.20
 2696.30	     2918.85	     2680.94
 2707.29	     2919.24	     2680.84
 2718.28	     2919.70	     2680.84
 2729.27	     2920.04	     2680.83
 2740.26	     2920.23	     2680.83
 2751.25	     2920.65	     2680.75
 2762.24	     2921.02	     2680.74
 2773.23	     2921.41	     2680.60
 2784.22	     2921.69	     2680.53
 2795.21	     2922.01	     2680.40
 2806.71	     2922.38	     2680.44
 2818.21	     2922.66	     2680.37
 2829.72	     2922.99	     2680.06
 2841.22	     2923.19	     2679.82
 2852.73	     2923.38	     2679.76
 2870.11	     2924.00	     2678.98
 2876.64	     2924.26	     2678.95
 2886.20	     2924.44	     2678.52
 2895.76	     2377.06	     2334.02
 2908.52	     2376.79	     2335.16
 2921.28	     2376.43	     2335.79
 2932.15	     2376.20	     2336.57
 2943.01	     2375.99	     2337.24
 2953.88	     2375.81	     2337.46
 2964.74	     2375.59	     2338.10
 2975.61	     2375.39	     2338.52
 2986.48	     2375.12	     2338.94
 2997.34	     2374.79	     2339.43
 3008.21	     2374.41	     2339.64
 3019.07	     2374.16	     2340.01
 3029.94	     2373.96	     2340.47
 3040.80	     2373.66	     2340.92
 3051.67	     2373.34	     2341.32
 3062.54	     2372.87	     2341.75
 3073.40	     2372.41	     2342.36
 3084.27	     2372.04	     2342.60
 3095.13	     2371.79	     2342.79
 3106.00	     2371.52	     2343.25
 3116.86	     2371.24	     2343.74
 3127.73	     2370.95	     2344.03
 3138.60	     2370.47	     2344.72
 3149.46	     2370.19	     2344.89
 3160.33	     2370.09	     2345.33
 3171.19	     2370.00	     2345.64
