    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.732	       513.722	        52.228	    74.634	   428.600	   306.160	    84.775	     0.199	    20.815	452.023297	451.516968	513.721800	2324.567598
   0.200	   0.732	       524.387	        51.978	    74.450	   436.926	   307.183	    86.052	     0.198	    20.312	453.930912	453.930680	523.807841	2324.498880
   0.400	   0.732	       526.574	        51.015	    74.188	   445.124	   307.093	    87.353	     0.197	    19.790	456.584702	456.584314	526.238494	2323.799805
   0.600	   0.732	       529.723	        50.955	    73.950	   453.171	   306.979	    88.611	     0.195	    19.291	459.740412	459.739626	529.385967	2323.137933
   0.800	   0.732	       532.364	        50.257	    73.758	   461.082	   307.192	    89.825	     0.194	    18.833	462.424227	462.422664	532.065250	2322.586667
   1.000	   0.732	       536.767	        51.257	    73.594	   468.857	   307.490	    91.000	     0.193	    18.401	466.147004	466.145248	535.889968	2323.261671
   1.200	   0.732	       539.561	        52.153	    73.340	   476.505	   306.827	    92.286	     0.192	    17.989	469.613280	469.611294	539.327707	2324.073452
   1.400	   0.732	       543.841	        53.163	    73.234	   484.040	   307.564	    93.416	     0.191	    17.627	473.962175	473.959899	543.402416	2325.010428
   1.600	   0.732	       547.348	        53.906	    73.038	   491.461	   307.152	    94.563	     0.190	    17.234	477.484452	477.481824	547.130007	2325.207615
   1.800	   0.732	       550.566	        53.231	    72.967	   498.777	   307.931	    95.578	     0.189	    16.885	481.613723	481.610671	551.183190	2325.570736
   2.000	   0.732	       553.577	        52.938	    72.734	   505.979	   306.657	    96.616	     0.187	    16.459	483.378468	483.374955	553.051415	2324.616734
   2.200	   0.732	       555.913	        51.462	    72.479	   513.045	   304.843	    97.569	     0.186	    16.006	485.954311	485.950226	555.580005	2322.992236
   2.400	   0.732	       559.613	        50.722	    72.216	   519.976	   302.695	    98.428	     0.185	    15.537	489.127661	489.122848	558.976980	2322.349875
   2.600	   0.732	       562.507	        47.798	    71.825	   526.768	   298.744	    99.112	     0.182	    14.954	490.493062	490.487334	561.635641	2321.104538
   2.800	   0.732	       567.844	        48.276	    71.094	   533.312	   290.444	    99.825	     0.180	    14.212	496.669642	496.662732	566.890473	2319.717096
   3.000	   0.732	       573.028	        47.373	    70.177	   539.576	   279.586	   100.352	     0.176	    13.349	501.057193	501.049657	571.646087	2318.624920
   3.200	   0.732	       578.653	        45.864	    69.244	   545.525	   268.556	   100.715	     0.173	    12.498	506.745397	506.737172	577.150045	2316.412122
   3.400	   0.732	       584.212	        44.784	    68.185	   551.168	   255.946	   101.066	     0.169	    11.630	510.090910	510.081890	579.157918	2315.665332
   3.600	   0.732	       591.749	        45.932	    67.253	   556.502	   245.088	   101.390	     0.165	    10.889	518.391500	518.381545	589.178590	2315.286476
   3.800	   0.732	       596.894	        46.041	    66.123	   561.528	   232.327	   101.779	     0.162	    10.124	525.088705	525.077643	595.320576	2315.645036
   4.000	   0.732	       603.432	        48.091	    65.037	   566.256	   220.120	   102.167	     0.158	     9.425	531.231576	531.219187	601.543976	2317.099954
   4.200	   0.732	       609.114	        49.813	    63.967	   570.689	   208.739	   102.551	     0.155	     8.797	536.914696	536.900663	607.316363	2318.231162
   4.400	   0.732	       613.195	        50.041	    62.996	   574.867	   198.261	   102.903	     0.152	     8.231	541.626709	541.610522	611.440645	2318.280156
   4.600	   0.732	       617.103	        50.412	    61.968	   578.809	   187.756	   103.239	     0.149	     7.687	544.639873	544.620928	615.127020	2317.965906
   4.800	   0.732	       619.233	        49.325	    60.940	   582.513	   177.215	   103.563	     0.146	     7.162	547.204247	547.181649	617.373854	2316.582539
   5.000	   0.732	       620.986	        48.213	    59.787	   585.973	   165.807	   103.870	     0.143	     6.622	548.924792	548.897333	618.687269	2314.957931
   5.200	   0.732	       621.358	        46.029	    58.560	   589.187	   153.910	   104.160	     0.140	     6.081	549.415824	549.381496	620.309418	2313.850626
   5.400	   0.732	       623.203	        45.904	    57.089	   592.118	   140.104	   104.447	     0.136	     5.484	549.808462	549.767950	620.883231	2312.284562
   5.600	   0.732	       623.506	        44.796	    55.338	   594.744	   124.237	   104.722	     0.132	     4.824	549.571379	549.525384	620.643226	2310.498068
   5.800	   0.732	       624.302	        44.211	    53.580	   597.046	   109.113	   104.944	     0.127	     4.206	549.599213	549.546211	621.141019	2309.355020
   6.000	   0.732	       623.673	        42.814	    51.599	   599.040	    92.493	   105.162	     0.122	     3.544	549.952827	549.890414	621.221119	2307.633818
   6.200	   0.732	       625.227	        43.433	    49.822	   600.728	    78.799	   105.320	     0.118	     3.003	551.154994	551.079490	622.731525	2307.116119
   6.400	   0.732	       626.808	        44.728	    47.895	   602.128	    64.070	   105.484	     0.113	     2.432	552.883341	552.788658	624.092401	2308.314436
   6.600	   0.732	       628.360	        45.932	    46.055	   603.256	    51.353	   105.599	     0.109	     1.943	554.715692	554.590463	625.680834	2308.861914
   6.800	   0.732	       631.262	        48.912	    44.234	   604.128	    38.802	   105.711	     0.104	     1.465	557.674235	557.495372	628.473544	2311.009209
   7.000	   0.732	       634.680	        51.740	    42.764	   604.809	    29.406	   105.739	     0.101	     1.107	559.950729	559.658523	630.870324	2312.445227
   7.200	   0.732	       635.429	        52.076	    41.316	   605.312	    20.317	   105.753	     0.097	     0.763	562.835691	562.466256	633.306519	2312.984804
   7.400	   0.732	       637.258	        53.724	    40.028	   605.655	    12.252	   105.766	     0.094	     0.460	565.153043	564.781850	635.392370	2314.391866
   7.600	   0.732	       638.461	        54.231	    38.695	   605.849	     4.322	   105.706	     0.091	     0.162	565.004384	564.630483	635.560169	2314.177551
   7.800	   0.732	       637.290	        52.562	    37.420	   605.895	    -3.178	   105.641	     0.088	    -0.119	565.801376	565.424744	635.661049	2313.330869
   8.000	   0.732	       638.484	        53.521	    36.131	   605.798	   -10.718	   105.575	     0.085	    -0.400	565.983857	565.604878	636.228431	2313.211404
   8.200	   0.732	       636.788	        51.358	    34.715	   605.547	   -18.651	   105.460	     0.082	    -0.696	564.059922	563.679792	634.394260	2310.788377
   8.400	   0.732	       636.986	        51.095	    33.254	   605.138	   -26.616	   105.318	     0.078	    -0.992	564.322775	563.944483	634.625126	2309.852541
   8.600	   0.732	       636.326	        50.136	    31.630	   604.566	   -35.417	   105.161	     0.074	    -1.320	563.620612	563.244881	634.731424	2309.157200
   8.800	   0.732	       635.273	        48.971	    30.100	   603.829	   -42.887	   104.996	     0.071	    -1.599	562.892426	562.520472	633.842488	2308.048983
   9.000	   0.732	       636.916	        50.496	    28.375	   602.948	   -51.030	   104.804	     0.067	    -1.905	563.958959	563.592996	634.427561	2308.974787
   9.200	   0.732	       636.847	        50.733	    26.780	   601.918	   -58.427	   104.627	     0.063	    -2.184	562.025076	561.665761	632.900644	2308.810388
   9.400	   0.732	       638.105	        52.064	    25.208	   600.741	   -65.131	   104.405	     0.059	    -2.439	566.798868	566.443909	637.437525	2309.814053
   9.600	   0.732	       639.677	        54.363	    23.956	   599.447	   -70.234	   104.228	     0.056	    -2.638	566.624806	566.267243	637.520485	2311.221936
   9.800	   0.732	       639.449	        55.275	    22.841	   598.045	   -74.616	   104.071	     0.054	    -2.814	567.715973	567.347335	638.224070	2312.513229
  10.000	   0.732	       640.893	        58.307	    21.943	   596.581	   -77.935	   103.947	     0.052	    -2.954	568.741041	568.354870	639.095622	2314.993196
  10.200	   0.732	       640.835	        59.620	    21.011	   595.034	   -81.411	   103.788	     0.049	    -3.100	569.090858	568.685744	639.331139	2316.320103
  10.400	   0.732	       639.741	        60.167	    20.174	   593.427	   -84.390	   103.645	     0.048	    -3.231	568.047196	567.613785	637.573335	2316.486306
  10.600	   0.732	       637.856	        60.075	    19.349	   591.755	   -87.246	   103.504	     0.046	    -3.360	565.832681	565.364569	635.775860	2316.129561
  10.800	   0.732	       632.750	        56.648	    18.397	   590.015	   -90.621	   103.340	     0.043	    -3.509	560.430521	559.987594	630.852507	2312.532577
  11.000	   0.732	       629.000	        54.258	    17.200	   588.193	   -95.054	   103.131	     0.041	    -3.700	556.801891	556.393894	627.426101	2310.283639
  11.200	   0.732	       623.243	        49.846	    15.580	   586.246	  -102.297	   102.895	     0.037	    -4.004	550.436341	550.081833	620.771571	2306.382560
  11.400	   0.732	       617.295	        45.160	    13.706	   584.149	  -110.767	   102.624	     0.033	    -4.359	543.712421	543.426887	615.027607	2302.421724
  11.600	   0.732	       613.706	        42.778	    11.292	   581.831	  -123.615	   102.308	     0.027	    -4.893	537.562529	537.354934	609.031025	2298.733412
  11.800	   0.732	       607.198	        37.996	     8.603	   579.202	  -139.288	   101.985	     0.020	    -5.553	530.041174	529.914917	601.948208	2294.770560
  12.000	   0.732	       603.397	        36.325	     5.676	   576.161	  -158.323	   101.628	     0.014	    -6.368	527.308139	527.251660	599.957663	2293.064816
  12.200	   0.732	       598.545	        34.499	     2.670	   572.755	  -175.344	   101.291	     0.006	    -7.132	521.762157	521.749496	594.571760	2291.869536
  12.400	   0.732	       596.270	        35.484	    -0.428	   569.003	  -191.814	   100.917	    -0.001	    -7.898	520.052940	520.053244	592.410938	2291.903376
  12.600	   0.732	       594.446	        36.931	    -3.517	   564.888	  -209.020	   100.484	    -0.008	    -8.721	517.072333	517.097084	589.121180	2294.303945
  12.800	   0.732	       591.637	        38.459	    -6.360	   560.284	  -230.275	   100.063	    -0.015	    -9.764	515.659027	515.750924	588.039086	2295.744378
  13.000	   0.732	       588.027	        42.063	    -8.888	   555.211	  -248.518	    99.822	    -0.022	   -10.777	511.904945	512.097958	584.292865	2298.230272
