    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.643	   2345.643	    2345.643	      0.000	      0.000	      0.000
   0.200	      0.642	   2345.642	    2345.642	     -0.201	      0.000	     -0.000
   0.400	      0.642	   2345.642	    2345.642	     -0.099	      0.000	     -0.000
   0.600	      0.640	   2345.640	    2345.640	     -0.343	      0.000	     -0.000
   0.800	      0.638	   2345.638	    2345.638	     -1.036	      0.000	     -0.000
   1.000	      0.633	   2345.633	    2345.633	     -1.367	      0.000	     -0.000
   1.200	      0.628	   2345.628	    2345.628	     -1.321	      0.000	     -0.000
   1.400	      0.622	   2345.622	    2345.622	     -1.491	      0.000	     -0.000
   1.600	      0.616	   2345.616	    2345.616	     -1.722	      0.000	     -0.000
   1.800	      0.609	   2345.610	    2345.610	     -1.664	      0.000	     -0.000
   2.000	      0.604	   2345.604	    2345.604	     -1.563	      0.000	     -0.000
   2.200	      0.598	   2345.598	    2345.598	     -1.881	      0.000	     -0.000
   2.400	      0.590	   2345.590	    2345.590	     -2.210	      0.000	     -0.001
   2.600	      0.580	   2345.581	    2345.581	     -2.603	      0.000	     -0.001
   2.800	      0.569	   2345.570	    2345.570	     -3.024	      0.000	     -0.001
   3.000	      0.555	   2345.558	    2345.558	     -4.318	      0.000	     -0.003
   3.200	      0.538	   2345.541	    2345.541	     -4.965	      0.000	     -0.004
   3.400	      0.516	   2345.521	    2345.521	     -5.935	      0.000	     -0.005
   3.600	      0.488	   2345.496	    2345.496	     -7.360	      0.000	     -0.008
   3.800	      0.452	   2345.464	    2345.464	     -9.033	      0.000	     -0.012
   4.000	      0.416	   2345.429	    2345.429	     -9.447	      0.000	     -0.013
   4.200	      0.374	   2345.391	    2345.391	    -10.498	      0.000	     -0.016
   4.400	      0.330	   2345.349	    2345.349	    -11.471	      0.000	     -0.020
   4.600	      0.283	   2345.305	    2345.305	    -12.113	      0.000	     -0.022
   4.800	      0.232	   2345.257	    2345.257	    -12.953	      0.000	     -0.024
   5.000	      0.177	   2345.206	    2345.206	    -13.860	      0.000	     -0.029
   5.200	      0.115	   2345.150	    2345.150	    -15.387	      0.000	     -0.035
   5.400	      0.047	   2345.089	    2345.089	    -16.849	      0.000	     -0.042
   5.600	     -0.024	   2345.025	    2345.025	    -18.107	      0.000	     -0.049
   5.800	     -0.106	   2344.953	    2344.953	    -19.960	      0.000	     -0.059
   6.000	     -0.198	   2344.874	    2344.874	    -22.007	      0.000	     -0.072
   6.200	     -0.296	   2344.787	    2344.787	    -23.642	      0.000	     -0.083
   6.400	     -0.408	   2344.692	    2344.692	    -26.066	      0.000	     -0.101
   6.600	     -0.525	   2344.591	    2344.591	    -27.725	      0.000	     -0.115
   6.800	     -0.645	   2344.483	    2344.483	    -29.329	      0.000	     -0.128
   7.000	     -0.769	   2344.369	    2344.369	    -30.541	      0.000	     -0.139
   7.200	     -0.898	   2344.252	    2344.252	    -31.657	      0.000	     -0.150
   7.400	     -1.030	   2344.129	    2344.129	    -32.623	      0.000	     -0.159
   7.600	     -1.165	   2344.003	    2344.003	    -33.471	      0.000	     -0.168
   7.800	     -1.300	   2343.874	    2343.874	    -34.237	      0.000	     -0.175
   8.000	     -1.445	   2343.742	    2343.742	    -35.467	      0.000	     -0.188
   8.200	     -1.593	   2343.606	    2343.606	    -36.687	      0.000	     -0.200
   8.400	     -1.742	   2343.466	    2343.466	    -37.467	      0.000	     -0.209
   8.600	     -1.906	   2343.321	    2343.321	    -39.033	      0.000	     -0.227
   8.800	     -2.075	   2343.170	    2343.170	    -40.493	      0.000	     -0.245
   9.000	     -2.249	   2343.014	    2343.014	    -41.963	      0.000	     -0.263
   9.200	     -2.425	   2342.853	    2342.853	    -43.165	      0.000	     -0.278
   9.400	     -2.607	   2342.687	    2342.687	    -44.448	      0.000	     -0.294
   9.600	     -2.792	   2342.517	    2342.517	    -45.502	      0.000	     -0.309
   9.800	     -2.975	   2342.343	    2342.343	    -46.216	      0.000	     -0.318
  10.000	     -3.157	   2342.167	    2342.167	    -46.540	      0.000	     -0.324
  10.200	     -3.341	   2341.989	    2341.989	    -47.020	      0.000	     -0.330
  10.400	     -3.515	   2341.811	    2341.811	    -46.657	      0.000	     -0.326
  10.600	     -3.692	   2341.634	    2341.634	    -46.679	      0.000	     -0.326
  10.800	     -3.870	   2341.457	    2341.457	    -46.872	      0.000	     -0.327
  11.000	     -4.056	   2341.279	    2341.279	    -47.323	      0.000	     -0.334
  11.200	     -4.250	   2341.098	    2341.098	    -48.283	      0.000	     -0.348
  11.400	     -4.452	   2340.912	    2340.912	    -49.427	      0.000	     -0.364
  11.600	     -4.675	   2340.721	    2340.721	    -51.511	      0.000	     -0.396
  11.800	     -4.907	   2340.522	    2340.522	    -53.756	      0.000	     -0.429
  12.000	     -5.155	   2340.313	    2340.313	    -55.983	      0.000	     -0.468
  12.200	     -5.422	   2340.096	    2340.096	    -59.008	      0.000	     -0.518
  12.400	     -5.701	   2339.867	    2339.867	    -61.734	      0.000	     -0.567
  12.600	     -5.989	   2339.627	    2339.627	    -64.270	      0.000	     -0.616
  12.800	     -6.273	   2339.380	    2339.380	    -66.218	      0.000	     -0.653
  13.000	     -6.566	   2339.125	    2339.125	    -68.170	      0.000	     -0.692
  13.200	     -6.860	   2338.864	    2338.864	    -69.733	      0.000	     -0.724
  13.400	     -7.142	   2338.599	    2338.599	    -70.415	      0.000	     -0.741
  13.600	     -7.412	   2338.331	    2338.331	    -70.489	      0.000	     -0.743
  13.800	     -7.667	   2338.065	    2338.065	    -70.019	      0.000	     -0.732
  14.000	     -7.906	   2337.801	    2337.801	    -68.808	      0.000	     -0.707
  14.200	     -8.140	   2337.542	    2337.542	    -67.552	      0.000	     -0.682
  14.400	     -8.378	   2337.288	    2337.288	    -66.795	      0.000	     -0.666
  14.600	     -8.630	   2337.034	    2337.034	    -66.679	      0.000	     -0.664
  14.800	     -8.866	   2336.783	    2336.783	    -65.950	      0.000	     -0.650
  15.000	     -9.095	   2336.535	    2336.535	    -65.007	      0.000	     -0.631
  15.200	     -9.317	   2336.291	    2336.291	    -63.851	      0.000	     -0.608
  15.400	     -9.517	   2336.053	    2336.053	    -61.809	      0.000	     -0.570
  15.600	     -9.711	   2335.822	    2335.822	    -59.764	      0.000	     -0.534
  15.800	     -9.892	   2335.600	    2335.600	    -57.359	      0.000	     -0.492
  16.000	    -10.063	   2335.388	    2335.388	    -54.892	      0.000	     -0.451
  16.200	    -10.208	   2335.186	    2335.186	    -51.312	      0.000	     -0.394
  16.400	    -10.326	   2335.001	    2335.001	    -46.709	      0.000	     -0.327
  16.600	    -10.428	   2334.834	    2334.834	    -41.784	      0.000	     -0.262
  16.800	    -10.515	   2334.685	    2334.685	    -36.414	      0.000	     -0.200
  17.000	    -10.588	   2334.557	    2334.557	    -30.962	      0.000	     -0.144
  17.200	    -10.654	   2334.448	    2334.448	    -26.063	      0.000	     -0.103
  17.400	    -10.711	   2334.359	    2334.359	    -21.332	      0.000	     -0.069
  17.600	    -10.758	   2334.285	    2334.285	    -16.979	      0.000	     -0.044
  17.800	    -10.797	   2334.228	    2334.228	    -13.093	      0.000	     -0.026
  18.000	    -10.825	   2334.186	    2334.186	     -8.754	      0.000	     -0.012
  18.200	    -10.844	   2334.160	    2334.160	     -5.063	      0.000	     -0.004
  18.400	    -10.852	   2334.148	    2334.148	     -0.804	      0.000	     -0.000
  18.600	    -10.845	   2334.154	    2334.154	      3.552	      0.000	      0.002
  18.800	    -10.815	   2334.176	    2334.176	      7.915	      0.000	      0.009
  19.000	    -10.760	   2334.215	    2334.215	     12.981	      0.000	      0.025
  19.200	    -10.675	   2334.274	    2334.274	     18.388	      0.000	      0.050
  19.400	    -10.568	   2334.353	    2334.353	     23.057	      0.000	      0.079
  19.600	    -10.435	   2334.450	    2334.450	     27.886	      0.000	      0.115
  19.800	    -10.291	   2334.562	    2334.562	     31.439	      0.000	      0.146
  20.000	    -10.135	   2334.689	    2334.689	     34.372	      0.000	      0.177
  20.200	     -9.980	   2334.823	    2334.823	     36.276	      0.000	      0.197
  20.400	     -9.835	   2334.962	    2334.962	     36.881	      0.000	      0.203
  20.600	     -9.687	   2335.103	    2335.103	     37.502	      0.000	      0.209
