    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   8.600	   0.520	       622.123	        42.686	     0.132	   553.386	  -148.756	    96.555	     0.000	    -6.095	547.684963	547.684963	619.368989	2299.197239
   8.800	   0.515	       623.437	        44.164	    -2.126	   550.109	  -161.778	    95.998	    -0.005	    -6.670	548.341840	548.341840	620.555494	2300.856127
   9.000	   0.509	       625.600	        48.277	    -4.556	   546.489	  -176.524	    95.531	    -0.011	    -7.352	550.443772	550.443772	621.742858	2304.418289
   9.200	   0.504	       621.831	        49.097	    -6.606	   542.541	  -189.307	    95.227	    -0.016	    -8.006	546.632691	546.632691	618.048871	2304.987822
   9.400	   0.499	       615.891	        50.976	    -8.072	   538.298	  -198.634	    95.139	    -0.019	    -8.585	544.194538	544.194538	615.151676	2306.976343
   9.600	   0.494	       610.990	        55.205	    -8.967	   533.869	  -203.452	    95.133	    -0.022	    -9.013	539.308597	539.308597	609.955563	2309.914183
   9.800	   0.489	       604.539	        58.367	    -9.472	   529.332	  -204.893	    95.154	    -0.023	    -9.316	534.109208	534.109208	604.844081	2313.691366
  10.000	   0.484	       601.034	        64.545	    -9.860	   524.744	  -205.109	    95.179	    -0.024	    -9.578	529.891707	529.891707	600.064827	2319.280353
  10.200	   0.479	       593.592	        66.585	   -10.147	   520.123	  -204.056	    95.188	    -0.025	    -9.787	522.487572	522.487572	592.779608	2321.860178
  10.400	   0.474	       585.453	        67.087	   -10.175	   515.518	  -200.007	    95.129	    -0.025	    -9.840	515.361141	515.361141	585.069178	2321.776488
  10.600	   0.469	       577.513	        66.757	    -9.823	   511.012	  -192.157	    94.996	    -0.025	    -9.679	508.665693	508.665693	578.050293	2321.131578
  10.800	   0.464	       569.185	        64.965	    -9.169	   506.683	  -181.284	    94.796	    -0.023	    -9.328	500.788833	500.788833	570.450094	2318.783332
  11.000	   0.459	       565.621	        67.072	    -8.352	   502.587	  -169.023	    94.559	    -0.021	    -8.867	498.146877	498.146877	567.347475	2320.967819
  11.200	   0.454	       562.565	        69.714	    -7.508	   498.754	  -157.434	    94.375	    -0.019	    -8.418	494.853773	494.853773	563.970495	2323.947051
  11.400	   0.449	       558.944	        71.723	    -6.663	   495.157	  -146.695	    94.231	    -0.017	    -7.991	490.931156	490.931156	560.625440	2326.360793
