  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 1970.97	     2862.91	     2777.98
 1981.96	     2863.95	     2777.09
 1992.95	     2864.85	     2776.11
 2003.94	     2865.69	     2774.91
 2014.93	     2866.57	     2773.72
 2025.92	     2867.34	     2772.64
 2036.91	     2868.08	     2771.67
 2047.90	     2868.81	     2770.64
 2058.89	     2869.68	     2769.58
 2069.88	     2870.37	     2768.56
 2080.87	     2871.10	     2767.50
 2091.86	     2871.75	     2766.45
 2102.85	     2872.48	     2765.65
 2113.84	     2873.15	     2764.70
 2124.83	     2873.78	     2763.68
 2135.82	     2874.40	     2762.82
 2146.81	     2875.09	     2761.98
 2157.80	     2875.72	     2761.03
 2168.79	     2876.33	     2760.15
 2179.78	     2876.94	     2759.27
 2190.77	     2877.41	     2758.47
 2201.76	     2878.01	     2757.71
 2212.75	     2878.52	     2756.88
 2223.74	     2878.94	     2756.00
 2234.73	     2879.41	     2755.26
 2245.72	     2879.91	     2754.48
 2256.71	     2880.23	     2753.85
 2267.70	     2880.57	     2753.06
 2278.69	     2881.04	     2752.36
 2289.68	     2881.33	     2751.85
 2300.67	     2881.61	     2751.42
 2311.66	     2881.91	     2750.95
 2322.65	     2882.32	     2750.30
 2333.64	     2882.67	     2749.78
 2344.63	     2882.97	     2749.42
 2355.62	     2883.43	     2749.06
 2366.61	     2883.70	     2748.58
 2377.59	     2884.21	     2748.14
 2388.58	     2884.67	     2747.94
 2399.57	     2884.90	     2747.33
 2410.56	     2885.12	     2746.99
 2421.55	     2885.56	     2746.75
 2432.54	     2886.05	     2746.59
 2443.53	     2886.46	     2746.46
 2454.52	     2886.70	     2746.37
 2465.51	     2887.11	     2746.09
 2476.50	     2887.45	     2745.95
 2487.49	     2887.72	     2745.89
 2498.48	     2888.02	     2745.65
 2509.47	     2888.27	     2745.30
 2520.46	     2888.59	     2745.25
 2531.45	     2889.05	     2744.93
 2542.44	     2889.44	     2744.79
 2553.43	     2889.91	     2744.73
 2564.42	     2890.24	     2744.55
 2575.41	     2890.49	     2744.46
 2586.40	     2890.65	     2744.29
 2597.39	     2890.73	     2744.28
 2608.38	     2890.86	     2744.22
 2619.37	     2891.18	     2743.99
 2630.36	     2891.49	     2743.94
 2641.35	     2891.67	     2744.00
 2652.34	     2891.74	     2744.06
 2663.33	     2891.89	     2743.92
 2674.32	     2892.26	     2743.81
 2685.31	     2892.55	     2743.80
 2696.30	     2892.86	     2743.87
 2707.29	     2893.25	     2743.98
 2718.28	     2893.68	     2743.95
 2729.27	     2894.05	     2744.02
 2740.26	     2894.33	     2744.14
 2751.25	     2894.73	     2744.24
 2762.24	     2895.07	     2744.32
 2773.23	     2895.30	     2744.50
 2784.22	     2895.62	     2744.70
 2795.21	     2895.82	     2744.82
 2806.71	     2896.78	     2745.67
 2818.21	     2897.80	     2746.47
 2829.72	     2898.68	     2747.23
 2841.22	     2899.45	     2747.97
 2852.73	     2900.05	     2748.97
 2870.11	     2901.31	     2751.51
 2876.64	     2901.90	     2752.43
 2886.20	     2902.57	     2753.51
 2895.76	     2393.93	     2282.41
 2908.52	     2391.60	     2284.42
 2921.28	     2389.38	     2286.77
 2932.15	     2388.32	     2287.87
 2943.01	     2387.13	     2288.90
 2953.88	     2386.09	     2290.15
