    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.643	   2345.643	    2345.643	      0.000	      0.000	      0.000
   0.200	      0.642	   2345.642	    2345.642	     -0.201	      0.000	     -0.000
   0.400	      0.642	   2345.642	    2345.642	     -0.099	      0.000	     -0.000
   0.600	      0.640	   2345.640	    2345.640	     -0.343	      0.000	     -0.000
   0.800	      0.638	   2345.638	    2345.638	     -1.035	      0.000	     -0.000
   1.000	      0.633	   2345.633	    2345.633	     -1.357	      0.000	     -0.000
   1.200	      0.628	   2345.628	    2345.628	     -1.300	      0.000	     -0.000
   1.400	      0.622	   2345.623	    2345.623	     -1.460	      0.000	     -0.000
   1.600	      0.616	   2345.616	    2345.616	     -1.684	      0.000	     -0.000
   1.800	      0.610	   2345.610	    2345.610	     -1.619	      0.000	     -0.000
   2.000	      0.605	   2345.605	    2345.605	     -1.511	      0.000	     -0.000
   2.200	      0.599	   2345.599	    2345.599	     -1.818	      0.000	     -0.000
   2.400	      0.591	   2345.592	    2345.592	     -2.115	      0.000	     -0.001
   2.600	      0.582	   2345.583	    2345.583	     -2.483	      0.000	     -0.001
   2.800	      0.571	   2345.573	    2345.573	     -2.885	      0.000	     -0.001
   3.000	      0.558	   2345.561	    2345.561	     -4.161	      0.000	     -0.002
   3.200	      0.541	   2345.544	    2345.544	     -4.781	      0.000	     -0.003
   3.400	      0.520	   2345.525	    2345.525	     -5.743	      0.000	     -0.005
   3.600	      0.493	   2345.501	    2345.501	     -7.142	      0.000	     -0.008
   3.800	      0.458	   2345.470	    2345.470	     -8.798	      0.000	     -0.011
   4.000	      0.423	   2345.436	    2345.436	     -9.243	      0.000	     -0.013
   4.200	      0.382	   2345.398	    2345.398	    -10.325	      0.000	     -0.016
   4.400	      0.338	   2345.357	    2345.357	    -11.313	      0.000	     -0.019
   4.600	      0.292	   2345.313	    2345.313	    -11.970	      0.000	     -0.021
   4.800	      0.242	   2345.266	    2345.266	    -12.822	      0.000	     -0.024
   5.000	      0.187	   2345.215	    2345.215	    -13.741	      0.000	     -0.028
   5.200	      0.126	   2345.160	    2345.160	    -15.272	      0.000	     -0.035
   5.400	      0.058	   2345.100	    2345.100	    -16.758	      0.000	     -0.042
   5.600	     -0.013	   2345.035	    2345.035	    -18.058	      0.000	     -0.048
   5.800	     -0.095	   2344.964	    2344.964	    -19.878	      0.000	     -0.059
   6.000	     -0.187	   2344.884	    2344.884	    -21.953	      0.000	     -0.072
   6.200	     -0.285	   2344.798	    2344.798	    -23.597	      0.000	     -0.083
   6.400	     -0.397	   2344.703	    2344.703	    -26.009	      0.000	     -0.100
   6.600	     -0.513	   2344.602	    2344.602	    -27.693	      0.000	     -0.115
   6.800	     -0.634	   2344.494	    2344.494	    -29.317	      0.000	     -0.128
   7.000	     -0.758	   2344.381	    2344.381	    -30.506	      0.000	     -0.139
   7.200	     -0.886	   2344.263	    2344.263	    -31.604	      0.000	     -0.149
   7.400	     -1.017	   2344.141	    2344.141	    -32.542	      0.000	     -0.158
   7.600	     -1.152	   2344.015	    2344.015	    -33.364	      0.000	     -0.167
   7.800	     -1.286	   2343.887	    2343.887	    -34.096	      0.000	     -0.173
   8.000	     -1.430	   2343.755	    2343.755	    -35.281	      0.000	     -0.186
   8.200	     -1.577	   2343.620	    2343.620	    -36.464	      0.000	     -0.197
   8.400	     -1.724	   2343.481	    2343.481	    -37.134	      0.000	     -0.205
   8.600	     -1.884	   2343.338	    2343.338	    -38.599	      0.000	     -0.222
   8.800	     -2.050	   2343.189	    2343.189	    -39.988	      0.000	     -0.239
   9.000	     -2.222	   2343.034	    2343.034	    -41.408	      0.000	     -0.256
   9.200	     -2.395	   2342.875	    2342.875	    -42.572	      0.000	     -0.270
   9.400	     -2.574	   2342.712	    2342.712	    -43.814	      0.000	     -0.285
   9.600	     -2.754	   2342.544	    2342.544	    -44.766	      0.000	     -0.299
   9.800	     -2.932	   2342.373	    2342.373	    -45.310	      0.000	     -0.305
  10.000	     -3.109	   2342.201	    2342.201	    -45.548	      0.000	     -0.310
  10.200	     -3.289	   2342.027	    2342.027	    -45.977	      0.000	     -0.316
  10.400	     -3.457	   2341.853	    2341.853	    -45.536	      0.000	     -0.311
  10.600	     -3.630	   2341.681	    2341.681	    -45.598	      0.000	     -0.311
  10.800	     -3.806	   2341.508	    2341.508	    -45.933	      0.000	     -0.314
  11.000	     -3.992	   2341.332	    2341.332	    -46.631	      0.000	     -0.324
  11.200	     -4.192	   2341.153	    2341.153	    -48.068	      0.000	     -0.345
  11.400	     -4.400	   2340.968	    2340.968	    -49.717	      0.000	     -0.368
  11.600	     -4.635	   2340.774	    2340.774	    -52.418	      0.000	     -0.410
  11.800	     -4.884	   2340.571	    2340.571	    -55.339	      0.000	     -0.454
  12.000	     -5.150	   2340.355	    2340.355	    -58.171	      0.000	     -0.505
  12.200	     -5.440	   2340.128	    2340.128	    -61.787	      0.000	     -0.568
  12.400	     -5.738	   2339.888	    2339.888	    -64.860	      0.000	     -0.626
  12.600	     -6.049	   2339.635	    2339.635	    -67.740	      0.000	     -0.684
  12.800	     -6.357	   2339.374	    2339.374	    -70.095	      0.000	     -0.732
  13.000	     -6.669	   2339.105	    2339.105	    -72.110	      0.000	     -0.774
  13.200	     -6.971	   2338.829	    2338.829	    -73.283	      0.000	     -0.800
  13.400	     -7.246	   2338.552	    2338.552	    -73.069	      0.000	     -0.798
  13.600	     -7.498	   2338.277	    2338.277	    -71.934	      0.000	     -0.775
  13.800	     -7.738	   2338.007	    2338.007	    -70.599	      0.000	     -0.744
  14.000	     -7.970	   2337.742	    2337.742	    -69.081	      0.000	     -0.712
  14.200	     -8.207	   2337.482	    2337.482	    -67.890	      0.000	     -0.689
  14.400	     -8.450	   2337.226	    2337.226	    -67.317	      0.000	     -0.676
  14.600	     -8.705	   2336.970	    2336.970	    -67.223	      0.000	     -0.675
  14.800	     -8.939	   2336.717	    2336.717	    -66.268	      0.000	     -0.656
  15.000	     -9.162	   2336.469	    2336.469	    -65.019	      0.000	     -0.631
  15.200	     -9.381	   2336.224	    2336.224	    -63.716	      0.000	     -0.605
  15.400	     -9.580	   2335.987	    2335.987	    -61.619	      0.000	     -0.567
  15.600	     -9.770	   2335.758	    2335.758	    -59.391	      0.000	     -0.527
  15.800	     -9.938	   2335.538	    2335.538	    -56.357	      0.000	     -0.476
  16.000	    -10.090	   2335.331	    2335.331	    -52.951	      0.000	     -0.420
  16.200	    -10.212	   2335.139	    2335.139	    -48.357	      0.000	     -0.351
  16.400	    -10.308	   2334.967	    2334.967	    -42.760	      0.000	     -0.275
  16.600	    -10.389	   2334.816	    2334.816	    -36.967	      0.000	     -0.205
  16.800	    -10.457	   2334.687	    2334.687	    -30.837	      0.000	     -0.144
  17.000	    -10.512	   2334.581	    2334.581	    -24.822	      0.000	     -0.093
  17.200	    -10.562	   2334.497	    2334.497	    -19.756	      0.000	     -0.059
  17.400	    -10.605	   2334.431	    2334.431	    -15.198	      0.000	     -0.035
  17.600	    -10.637	   2334.381	    2334.381	    -10.861	      0.000	     -0.018
  17.800	    -10.661	   2334.347	    2334.347	     -7.046	      0.000	     -0.007
  18.000	    -10.674	   2334.327	    2334.327	     -2.889	      0.000	     -0.001
  18.200	    -10.678	   2334.322	    2334.322	      0.606	      0.000	      0.000
  18.400	    -10.665	   2334.332	    2334.332	      4.576	      0.000	      0.003
  18.600	    -10.632	   2334.357	    2334.357	      8.619	      0.000	      0.011
  18.800	    -10.579	   2334.398	    2334.398	     12.703	      0.000	      0.024
  19.000	    -10.500	   2334.455	    2334.455	     17.472	      0.000	      0.045
  19.200	    -10.393	   2334.530	    2334.530	     22.645	      0.000	      0.076
  19.400	    -10.268	   2334.624	    2334.624	     26.903	      0.000	      0.108
  19.600	    -10.124	   2334.734	    2334.734	     30.932	      0.000	      0.142
  19.800	     -9.977	   2334.856	    2334.856	     33.544	      0.000	      0.167
  20.000	     -9.826	   2334.988	    2334.988	     35.293	      0.000	      0.186
  20.200	     -9.680	   2335.124	    2335.124	     36.176	      0.000	      0.196
  20.400	     -9.549	   2335.261	    2335.261	     35.741	      0.000	      0.191
  20.600	     -9.421	   2335.395	    2335.395	     35.150	      0.000	      0.184
