    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.283	   2345.283	    2345.283	      0.000	      0.000	      0.000
   0.200	      0.281	   2345.281	    2345.281	     -0.177	      0.000	     -0.000
   0.400	      0.281	   2345.281	    2345.281	      0.179	      0.000	      0.000
   0.600	      0.282	   2345.282	    2345.282	      0.032	      0.000	      0.000
   0.800	      0.282	   2345.282	    2345.282	     -0.030	      0.000	     -0.000
   1.000	      0.282	   2345.282	    2345.282	     -0.030	      0.000	     -0.000
   1.200	      0.281	   2345.281	    2345.281	      0.030	      0.000	      0.000
   1.400	      0.282	   2345.282	    2345.282	      0.172	      0.000	      0.000
   1.600	      0.282	   2345.282	    2345.282	     -0.187	      0.000	     -0.000
   1.800	      0.281	   2345.281	    2345.281	     -0.045	      0.000	     -0.000
   2.000	      0.282	   2345.282	    2345.282	      0.150	      0.000	      0.000
   2.200	      0.282	   2345.282	    2345.282	     -0.213	      0.000	     -0.000
   2.400	      0.281	   2345.281	    2345.281	     -0.079	      0.000	     -0.000
   2.600	      0.280	   2345.280	    2345.280	     -0.033	      0.000	     -0.000
   2.800	      0.280	   2345.280	    2345.280	      0.092	      0.000	      0.000
   3.000	      0.280	   2345.280	    2345.280	     -0.140	      0.000	     -0.000
   3.200	      0.278	   2345.278	    2345.278	     -0.307	      0.000	     -0.000
   3.400	      0.277	   2345.277	    2345.277	      0.007	      0.000	      0.000
   3.600	      0.277	   2345.277	    2345.277	     -0.181	      0.000	     -0.000
   3.800	      0.274	   2345.274	    2345.274	     -0.286	      0.000	     -0.000
   4.000	      0.272	   2345.272	    2345.272	     -0.140	      0.000	     -0.000
   4.200	      0.269	   2345.269	    2345.269	     -0.354	      0.000	     -0.000
   4.400	      0.266	   2345.266	    2345.266	     -0.494	      0.000	     -0.000
   4.600	      0.261	   2345.262	    2345.262	     -0.720	      0.000	     -0.000
   4.800	      0.257	   2345.257	    2345.257	     -0.468	      0.000	     -0.000
   5.000	      0.253	   2345.253	    2345.253	     -0.583	      0.000	     -0.000
   5.200	      0.245	   2345.245	    2345.245	     -1.042	      0.000	     -0.000
   5.400	      0.238	   2345.238	    2345.238	     -1.026	      0.000	     -0.000
   5.600	      0.230	   2345.230	    2345.230	     -1.114	      0.000	     -0.000
   5.800	      0.221	   2345.221	    2345.221	     -1.328	      0.000	     -0.000
   6.000	      0.210	   2345.210	    2345.210	     -1.495	      0.000	     -0.000
