  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 1970.97	     2848.85	     2771.72
 1981.96	     2849.52	     2770.60
 1992.95	     2850.26	     2768.95
 2003.94	     2851.15	     2767.64
 2014.93	     2851.96	     2766.55
 2025.92	     2852.96	     2765.56
 2036.91	     2854.26	     2764.51
 2047.90	     2855.46	     2762.89
 2058.89	     2856.58	     2761.61
 2069.88	     2857.60	     2760.33
 2080.87	     2858.49	     2758.75
 2091.86	     2859.48	     2757.39
 2102.85	     2860.32	     2756.35
 2113.84	     2860.94	     2755.61
 2124.83	     2861.94	     2754.44
 2135.82	     2862.96	     2753.38
 2146.81	     2863.85	     2751.99
 2157.80	     2864.87	     2750.80
 2168.79	     2865.70	     2749.76
 2179.78	     2866.64	     2748.55
 2190.77	     2867.53	     2747.82
 2201.76	     2868.54	     2746.82
 2212.75	     2869.38	     2745.61
 2223.74	     2870.24	     2744.54
 2234.73	     2871.20	     2743.15
 2245.72	     2872.03	     2741.96
 2256.71	     2872.88	     2741.27
 2267.70	     2873.59	     2740.48
 2278.69	     2874.45	     2739.54
 2289.68	     2875.24	     2738.47
 2300.67	     2875.96	     2737.63
 2311.66	     2877.04	     2736.91
 2322.65	     2877.82	     2735.93
 2333.64	     2878.64	     2734.90
 2344.63	     2879.66	     2734.33
 2355.62	     2880.72	     2733.72
 2366.61	     2881.53	     2733.00
 2377.59	     2882.27	     2732.10
 2388.58	     2883.37	     2731.46
 2399.57	     2884.22	     2730.92
 2410.56	     2884.75	     2730.31
 2421.55	     2885.59	     2729.54
 2432.54	     2886.59	     2728.63
 2443.53	     2887.37	     2727.82
 2454.52	     2888.22	     2727.25
 2465.51	     2888.94	     2726.64
 2476.50	     2889.77	     2725.87
 2487.49	     2890.57	     2725.02
 2498.48	     2891.27	     2724.35
 2509.47	     2892.48	     2723.85
 2520.46	     2893.44	     2723.23
 2531.45	     2893.97	     2722.81
 2542.44	     2894.68	     2722.11
 2553.43	     2895.48	     2721.25
 2564.42	     2896.48	     2720.84
 2575.41	     2897.41	     2720.36
 2586.40	     2898.12	     2719.80
 2597.39	     2898.99	     2719.32
 2608.38	     2899.63	     2718.77
 2619.37	     2900.15	     2718.34
 2630.36	     2901.17	     2717.89
 2641.35	     2902.04	     2717.44
 2652.34	     2902.94	     2716.89
 2663.33	     2903.57	     2716.41
 2674.32	     2904.43	     2715.86
 2685.31	     2904.98	     2715.40
 2696.30	     2905.25	     2714.99
 2707.29	     2906.39	     2714.67
 2718.28	     2907.27	     2714.17
 2729.27	     2907.90	     2713.68
 2740.26	     2908.76	     2713.22
 2751.25	     2909.36	     2713.06
 2762.24	     2909.89	     2712.70
 2773.23	     2911.09	     2712.48
 2784.22	     2911.96	     2712.18
 2795.21	     2912.17	     2712.19
 2806.71	     2913.04	     2709.86
 2818.21	     2913.80	     2707.46
 2829.72	     2913.99	     2704.75
 2841.22	     2915.20	     2702.23
 2852.73	     2915.94	     2700.13
 2870.11	     2917.18	     2659.48
 2876.64	     2917.60	     2661.35
 2886.20	     2917.90	     2659.21
 2895.76	     2377.64	     2303.47
 2908.52	     2375.88	     2305.12
 2921.28	     2374.30	     2307.12
 2932.15	     2373.37	     2307.88
 2943.01	     2372.27	     2308.77
 2953.88	     2371.23	     2309.44
 2964.74	     2370.18	     2310.00
 2975.61	     2369.50	     2310.76
 2986.48	     2368.75	     2311.80
 2997.34	     2367.86	     2312.39
 3008.21	     2366.76	     2313.16
 3019.07	     2365.68	     2314.18
 3029.94	     2364.63	     2314.97
 3040.80	     2363.75	     2315.74
 3051.67	     2362.62	     2316.73
 3062.54	     2361.54	     2317.32
 3073.40	     2360.67	     2318.04
 3084.27	     2359.76	     2318.52
 3095.13	     2358.74	     2319.28
 3106.00	     2357.99	     2320.13
 3116.86	     2356.93	     2320.92
 3127.73	     2356.60	     2321.68
 3138.60	     2356.28	     2322.68
 3149.46	     2355.94	     2323.45
 3160.33	     2355.57	     2324.38
 3171.19	     2355.07	     2325.43
 3182.06	     2354.53	     2326.20
 3192.92	     2354.02	     2326.99
 3203.79	     2353.71	     2327.75
 3214.66	     2353.39	     2328.69
 3225.52	     2353.03	     2329.52
 3236.39	     2352.61	     2330.32
 3247.25	     2352.29	     2330.82
 3258.12	     2351.79	     2331.32
 3268.98	     2351.54	     2331.78
 3279.85	     2351.60	     2332.13
 3290.71	     2351.52	     2332.49
 3301.58	     2351.50	     2333.08
 3312.45	     2351.59	     2333.65
 3323.31	     2351.34	     2334.02
 3334.18	     2351.57	     2334.27
 3345.04	     2350.93	     2334.32
 3355.07	     2351.12	     2334.14
 3365.09	     2351.06	     2334.32
 3375.12	     2351.00	     2334.50
 3385.14	     2350.96	     2334.68
 3395.16	     2350.94	     2334.85
 3405.19	     2350.91	     2335.02
 3415.21	     2350.89	     2335.19
 3425.24	     2350.89	     2335.35
 3435.26	     2350.90	     2335.52
 3445.28	     2350.89	     2335.69
 3455.31	     2350.90	     2335.85
 3465.33	     2350.91	     2336.01
 3475.36	     2350.90	     2336.19
 3485.38	     2350.91	     2336.35
 3495.41	     2350.92	     2336.51
 3505.43	     2350.93	     2336.67
 3515.45	     2350.93	     2336.83
 3525.48	     2351.02	     2336.97
 3535.50	     2350.98	     2337.18
 3545.53	     2350.99	     2337.33
 3555.55	     2350.99	     2337.47
 3565.57	     2350.98	     2337.63
 3575.60	     2350.97	     2337.77
 3585.62	     2350.97	     2337.88
 3595.65	     2350.97	     2337.99
 3605.67	     2350.96	     2338.11
 3615.69	     2350.97	     2338.20
 3625.72	     2350.97	     2338.30
 3635.74	     2350.96	     2338.40
 3645.77	     2350.96	     2338.49
 3655.79	     2350.97	     2338.57
 3665.82	     2350.97	     2338.68
 3675.84	     2350.97	     2338.77
 3685.86	     2350.98	     2338.85
 3695.89	     2350.97	     2338.94
 3705.91	     2350.67	     2339.35
 3716.05	     2350.58	     2339.39
 3726.19	     2350.36	     2339.61
 3736.32	     2350.14	     2339.84
 3746.46	     2349.92	     2340.06
 3756.59	     2349.69	     2340.29
 3766.73	     2349.47	     2340.51
 3776.87	     2349.25	     2340.74
 3787.00	     2349.02	     2340.96
 3797.14	     2348.80	     2341.18
 3807.28	     2348.58	     2341.41
 3817.41	     2348.36	     2341.63
 3827.55	     2348.14	     2341.86
 3837.69	     2347.93	     2342.09
 3847.82	     2347.70	     2342.32
 3857.96	     2347.47	     2342.55
 3868.10	     2347.23	     2342.77
 3878.23	     2347.00	     2343.00
 3888.37	     2346.77	     2343.23
 3898.51	     2346.54	     2343.46
 3908.64	     2346.31	     2343.69
 3918.78	     2346.08	     2343.91
 3928.92	     2345.85	     2344.14
 3939.05	     2345.62	     2344.37
 3949.19	     2345.39	     2344.60
 3959.33	     2345.00	     2345.00
