 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        536.26	     0.01	          34.11	   97.24	          20.62	    32.21	         134.26	   96.16
  J 18	        536.26	     0.01	          34.11	   97.24	          20.62	    32.21	         134.26	   96.16
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2809.30	    92.72	        2804.32	   32.95	           0.01	    12.50	           0.01	    55.01
  J  3	       2840.90	    90.27	        2767.70	   31.39	           2.50	    12.33	           2.39	    59.92
  J 12	       2366.84	    22.97	        2324.00	   54.65	           2.31	    36.15	           1.36	    71.21
  J 13	       2354.65	    21.28	        2336.89	   51.26	           0.08	    42.02	           0.10	    14.27
  J 20	       2366.84	    22.97	        2324.00	   54.65	           2.31	    36.15	           1.36	    71.21
  J 21	       2354.65	    21.28	        2336.89	   51.26	           0.08	    42.02	           0.10	    14.27
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        834.47	    98.01	         552.50	    97.97	        130.37	    97.99	       -137.54	    99.09
  J 16	        834.47	    98.01	         552.50	    97.97	        130.37	    97.99	       -137.54	    99.09
