    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.763	   2361.063	    2361.063	      0.000	      0.000	      0.000
   0.200	      0.763	   2361.063	    2361.063	     -0.238	      0.000	     -0.000
   0.400	      0.762	   2361.062	    2361.062	     -0.119	      0.000	     -0.000
   0.600	      0.761	   2361.061	    2361.061	     -0.304	      0.000	     -0.000
   0.800	      0.758	   2361.058	    2361.058	     -1.006	      0.000	     -0.000
   1.000	      0.753	   2361.054	    2361.054	     -1.299	      0.000	     -0.000
   1.200	      0.748	   2361.049	    2361.049	     -1.139	      0.000	     -0.000
   1.400	      0.744	   2361.044	    2361.044	     -1.299	      0.000	     -0.000
   1.600	      0.738	   2361.038	    2361.038	     -1.575	      0.000	     -0.000
   1.800	      0.732	   2361.032	    2361.032	     -1.500	      0.000	     -0.000
   2.000	      0.727	   2361.028	    2361.028	     -1.343	      0.000	     -0.000
   2.200	      0.722	   2361.023	    2361.023	     -1.608	      0.000	     -0.000
   2.400	      0.716	   2361.016	    2361.016	     -1.842	      0.000	     -0.000
   2.600	      0.708	   2361.009	    2361.009	     -2.086	      0.000	     -0.001
   2.800	      0.699	   2361.000	    2361.000	     -2.387	      0.000	     -0.001
   3.000	      0.688	   2360.990	    2360.990	     -3.685	      0.000	     -0.002
   3.200	      0.674	   2360.977	    2360.977	     -3.949	      0.000	     -0.002
   3.400	      0.658	   2360.961	    2360.961	     -4.635	      0.000	     -0.003
   3.600	      0.636	   2360.941	    2360.941	     -5.795	      0.000	     -0.005
   3.800	      0.608	   2360.916	    2360.916	     -7.381	      0.000	     -0.008
   4.000	      0.578	   2360.887	    2360.887	     -7.701	      0.000	     -0.009
   4.200	      0.543	   2360.855	    2360.855	     -8.915	      0.000	     -0.012
   4.400	      0.503	   2360.819	    2360.819	    -10.188	      0.000	     -0.015
   4.600	      0.460	   2360.778	    2360.778	    -11.017	      0.000	     -0.018
   4.800	      0.414	   2360.734	    2360.734	    -12.017	      0.000	     -0.021
   5.000	      0.362	   2360.687	    2360.687	    -12.947	      0.000	     -0.025
   5.200	      0.304	   2360.635	    2360.635	    -14.400	      0.000	     -0.031
   5.400	      0.241	   2360.578	    2360.578	    -15.772	      0.000	     -0.037
   5.600	      0.176	   2360.518	    2360.518	    -16.804	      0.000	     -0.042
   5.800	      0.101	   2360.451	    2360.451	    -18.502	      0.000	     -0.051
   6.000	      0.016	   2360.378	    2360.378	    -20.378	      0.000	     -0.062
   6.200	     -0.072	   2360.298	    2360.298	    -21.719	      0.000	     -0.070
   6.400	     -0.176	   2360.210	    2360.210	    -24.154	      0.000	     -0.086
   6.600	     -0.284	   2360.116	    2360.116	    -25.828	      0.000	     -0.100
   6.800	     -0.400	   2360.015	    2360.015	    -27.757	      0.000	     -0.114
   7.000	     -0.521	   2359.907	    2359.907	    -29.353	      0.000	     -0.128
   7.200	     -0.650	   2359.793	    2359.793	    -30.923	      0.000	     -0.143
   7.400	     -0.784	   2359.672	    2359.672	    -32.361	      0.000	     -0.156
   7.600	     -0.924	   2359.546	    2359.546	    -33.613	      0.000	     -0.169
   7.800	     -1.063	   2359.416	    2359.416	    -34.661	      0.000	     -0.179
   8.000	     -1.213	   2359.282	    2359.282	    -36.152	      0.000	     -0.195
   8.200	     -1.366	   2359.143	    2359.143	    -37.527	      0.000	     -0.209
   8.400	     -1.518	   2359.000	    2359.000	    -38.278	      0.000	     -0.217
   8.600	     -1.684	   2358.852	    2358.852	    -39.797	      0.000	     -0.236
   8.800	     -1.854	   2358.698	    2358.698	    -41.094	      0.000	     -0.252
   9.000	     -2.029	   2358.540	    2358.540	    -42.369	      0.000	     -0.268
   9.200	     -2.204	   2358.377	    2358.377	    -43.446	      0.000	     -0.281
   9.400	     -2.385	   2358.211	    2358.211	    -44.657	      0.000	     -0.296
   9.600	     -2.571	   2358.040	    2358.040	    -45.702	      0.000	     -0.311
   9.800	     -2.756	   2357.865	    2357.865	    -46.474	      0.000	     -0.321
  10.000	     -2.941	   2357.688	    2357.688	    -46.901	      0.000	     -0.329
  10.200	     -3.135	   2357.508	    2357.508	    -47.896	      0.000	     -0.343
  10.400	     -3.316	   2357.326	    2357.326	    -47.795	      0.000	     -0.343
  10.600	     -3.501	   2357.144	    2357.144	    -48.084	      0.000	     -0.346
  10.800	     -3.687	   2356.962	    2356.962	    -48.365	      0.000	     -0.348
  11.000	     -3.873	   2356.778	    2356.778	    -48.461	      0.000	     -0.351
  11.200	     -4.064	   2356.593	    2356.593	    -48.904	      0.000	     -0.358
  11.400	     -4.252	   2356.407	    2356.407	    -49.094	      0.000	     -0.360
  11.600	     -4.455	   2356.220	    2356.220	    -50.068	      0.000	     -0.374
  11.800	     -4.662	   2356.028	    2356.028	    -51.241	      0.000	     -0.390
  12.000	     -4.876	   2355.832	    2355.832	    -52.229	      0.000	     -0.408
  12.200	     -5.112	   2355.630	    2355.630	    -54.498	      0.000	     -0.442
  12.400	     -5.359	   2355.419	    2355.419	    -56.619	      0.000	     -0.478
  12.600	     -5.621	   2355.199	    2355.199	    -59.007	      0.000	     -0.519
  12.800	     -5.885	   2354.971	    2354.971	    -61.124	      0.000	     -0.557
  13.000	     -6.154	   2354.736	    2354.736	    -62.994	      0.000	     -0.590
  13.200	     -6.426	   2354.495	    2354.495	    -64.574	      0.000	     -0.621
  13.400	     -6.696	   2354.248	    2354.248	    -65.623	      0.000	     -0.644
  13.600	     -6.974	   2353.996	    2353.996	    -66.931	      0.000	     -0.670
  13.800	     -7.261	   2353.740	    2353.740	    -68.565	      0.000	     -0.700
  14.000	     -7.539	   2353.478	    2353.478	    -69.377	      0.000	     -0.717
  14.200	     -7.816	   2353.213	    2353.213	    -69.878	      0.000	     -0.729
  14.400	     -8.088	   2352.948	    2352.948	    -70.232	      0.000	     -0.736
  14.600	     -8.371	   2352.680	    2352.680	    -70.894	      0.000	     -0.751
  14.800	     -8.640	   2352.411	    2352.411	    -70.931	      0.000	     -0.751
  15.000	     -8.904	   2352.143	    2352.143	    -70.827	      0.000	     -0.747
  15.200	     -9.176	   2351.873	    2351.873	    -70.984	      0.000	     -0.750
  15.400	     -9.422	   2351.607	    2351.607	    -69.929	      0.000	     -0.728
  15.600	     -9.655	   2351.345	    2351.345	    -68.460	      0.000	     -0.700
  15.800	     -9.877	   2351.089	    2351.089	    -66.699	      0.000	     -0.665
  16.000	    -10.102	   2350.838	    2350.838	    -65.462	      0.000	     -0.640
  16.200	    -10.317	   2350.593	    2350.593	    -63.930	      0.000	     -0.610
  16.400	    -10.514	   2350.356	    2350.356	    -61.796	      0.000	     -0.570
  16.600	    -10.698	   2350.127	    2350.127	    -59.340	      0.000	     -0.525
  16.800	    -10.871	   2349.907	    2349.907	    -56.441	      0.000	     -0.479
  17.000	    -11.024	   2349.699	    2349.699	    -53.154	      0.000	     -0.423
  17.200	    -11.174	   2349.503	    2349.503	    -50.161	      0.000	     -0.377
  17.400	    -11.310	   2349.319	    2349.319	    -46.829	      0.000	     -0.329
  17.600	    -11.429	   2349.149	    2349.149	    -43.023	      0.000	     -0.278
  17.800	    -11.539	   2348.993	    2348.993	    -39.336	      0.000	     -0.231
  18.000	    -11.631	   2348.852	    2348.852	    -34.844	      0.000	     -0.183
  18.200	    -11.720	   2348.726	    2348.726	    -31.111	      0.000	     -0.146
  18.400	    -11.793	   2348.616	    2348.616	    -26.941	      0.000	     -0.109
  18.600	    -11.858	   2348.521	    2348.521	    -23.062	      0.000	     -0.079
