  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 1970.97	     2855.63	     2781.05
 1981.96	     2856.13	     2780.22
 1992.95	     2856.78	     2779.33
 2003.94	     2857.56	     2778.10
 2014.93	     2858.36	     2777.03
 2025.92	     2859.01	     2776.17
 2036.91	     2859.52	     2775.42
 2047.90	     2860.09	     2774.58
 2058.89	     2860.83	     2773.63
 2069.88	     2861.59	     2772.95
 2080.87	     2862.24	     2771.89
 2091.86	     2862.75	     2770.95
 2102.85	     2863.29	     2770.08
 2113.84	     2863.84	     2769.27
 2124.83	     2864.43	     2768.19
 2135.82	     2865.03	     2767.69
 2146.81	     2865.53	     2767.19
 2157.80	     2865.90	     2766.17
 2168.79	     2866.29	     2765.26
 2179.78	     2866.69	     2764.50
 2190.77	     2866.83	     2763.55
 2201.76	     2866.96	     2762.57
 2212.75	     2867.68	     2761.75
 2223.74	     2868.33	     2761.25
 2234.73	     2869.03	     2760.71
 2245.72	     2869.75	     2760.06
 2256.71	     2870.58	     2759.25
 2267.70	     2871.29	     2758.41
 2278.69	     2872.08	     2757.75
 2289.68	     2872.84	     2757.25
 2300.67	     2873.67	     2756.67
 2311.66	     2874.37	     2756.09
 2322.65	     2875.07	     2755.39
 2333.64	     2875.76	     2754.57
 2344.63	     2876.47	     2753.88
 2355.62	     2877.23	     2753.31
 2366.61	     2878.02	     2752.76
 2377.59	     2878.75	     2752.14
 2388.58	     2879.45	     2751.48
 2399.57	     2880.14	     2751.00
 2410.56	     2880.80	     2750.47
 2421.55	     2881.39	     2750.02
 2432.54	     2882.08	     2749.42
 2443.53	     2882.77	     2748.90
 2454.52	     2883.40	     2748.33
 2465.51	     2883.99	     2747.86
 2476.50	     2884.70	     2747.47
 2487.49	     2885.37	     2746.91
 2498.48	     2885.85	     2746.41
 2509.47	     2886.53	     2746.12
 2520.46	     2887.00	     2745.56
 2531.45	     2887.58	     2745.05
 2542.44	     2888.11	     2744.62
 2553.43	     2888.73	     2744.12
 2564.42	     2889.27	     2743.65
 2575.41	     2889.87	     2743.34
 2586.40	     2890.41	     2743.05
 2597.39	     2890.94	     2742.77
 2608.38	     2891.32	     2742.48
 2619.37	     2891.83	     2742.20
 2630.36	     2892.37	     2741.81
 2641.35	     2892.77	     2741.55
 2652.34	     2893.36	     2741.31
 2663.33	     2893.85	     2741.14
 2674.32	     2894.35	     2740.97
 2685.31	     2894.78	     2740.67
 2696.30	     2895.16	     2740.40
 2707.29	     2895.67	     2740.22
 2718.28	     2896.19	     2740.20
 2729.27	     2896.70	     2740.33
 2740.26	     2897.08	     2739.99
 2751.25	     2897.42	     2739.93
 2762.24	     2897.94	     2739.99
 2773.23	     2898.45	     2739.79
 2784.22	     2898.99	     2739.73
 2795.21	     2899.37	     2739.84
 2806.71	     2899.96	     2738.93
 2818.21	     2901.01	     2738.32
 2829.72	     2903.25	     2737.90
 2841.22	     2905.45	     2737.05
 2852.73	     2907.84	     2736.56
 2870.11	     2914.63	     2735.09
 2876.64	     2916.91	     2734.17
 2886.20	     2919.47	     2733.19
 2895.76	     2375.43	     2299.22
 2908.52	     2374.13	     2300.55
 2921.28	     2372.44	     2301.95
 2932.15	     2371.43	     2302.73
 2943.01	     2370.53	     2303.51
 2953.88	     2369.73	     2304.31
 2964.74	     2368.69	     2305.10
 2975.61	     2368.09	     2305.98
 2986.48	     2367.48	     2306.65
 2997.34	     2366.69	     2307.36
 3008.21	     2365.57	     2308.01
 3019.07	     2364.73	     2308.86
 3029.94	     2363.94	     2309.71
 3040.80	     2362.73	     2310.36
 3051.67	     2361.80	     2311.15
 3062.54	     2361.15	     2311.89
 3073.40	     2360.49	     2312.63
 3084.27	     2359.70	     2313.28
 3095.13	     2359.02	     2314.13
 3106.00	     2358.03	     2315.04
 3116.86	     2356.98	     2315.83
 3127.73	     2356.19	     2316.72
 3138.60	     2355.52	     2317.74
 3149.46	     2355.48	     2318.39
 3160.33	     2355.44	     2319.30
 3171.19	     2355.39	     2320.11
 3182.06	     2355.35	     2320.82
 3192.92	     2355.31	     2321.63
 3203.79	     2355.27	     2322.53
 3214.66	     2355.23	     2323.66
 3225.52	     2355.19	     2324.48
 3236.39	     2355.14	     2325.32
 3247.25	     2355.08	     2326.40
 3258.12	     2355.02	     2327.10
 3268.98	     2354.97	     2327.89
 3279.85	     2354.90	     2328.69
 3290.71	     2354.84	     2329.48
 3301.58	     2354.79	     2330.29
 3312.45	     2354.73	     2331.12
 3323.31	     2354.67	     2332.34
 3334.18	     2354.60	     2332.93
 3345.04	     2354.54	     2332.88
 3355.07	     2354.65	     2332.72
 3365.09	     2354.49	     2332.90
 3375.12	     2354.33	     2333.10
 3385.14	     2354.17	     2333.29
 3395.16	     2354.02	     2333.47
 3405.19	     2353.86	     2333.67
 3415.21	     2353.70	     2333.85
 3425.24	     2353.56	     2334.04
 3435.26	     2353.41	     2334.23
 3445.28	     2353.26	     2334.43
 3455.31	     2353.11	     2334.61
 3465.33	     2352.96	     2334.80
 3475.36	     2352.82	     2335.00
 3485.38	     2352.68	     2335.19
 3495.41	     2352.53	     2335.38
 3505.43	     2352.39	     2335.57
 3515.45	     2352.25	     2335.76
