    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.883	       496.798	        64.200	    81.324	   428.600	   306.065	    87.838	     0.225	    22.340	421.354739	420.753579	496.798437	2339.833435
   0.200	   0.883	       508.637	        64.134	    81.157	   436.922	   307.178	    89.167	     0.224	    21.809	422.918846	422.918846	508.038156	2339.959512
   0.400	   0.878	       511.965	        62.831	    80.818	   445.138	   308.338	    90.333	     0.221	    21.247	426.404500	426.404500	511.385238	2339.044535
   0.600	   0.873	       515.233	        62.239	    80.403	   453.219	   308.352	    91.539	     0.219	    20.672	429.600328	429.600328	514.591219	2337.724436
   0.800	   0.868	       517.882	        60.831	    80.018	   461.162	   308.364	    92.688	     0.217	    20.119	432.252545	432.252545	517.258252	2336.407497
   1.000	   0.863	       522.321	        61.069	    79.673	   468.965	   308.834	    93.788	     0.215	    19.618	435.802891	435.802891	520.968339	2336.144105
   1.200	   0.858	       525.821	        61.537	    79.167	   476.635	   307.506	    94.968	     0.213	    19.077	439.981011	439.981011	525.155385	2336.493476
   1.400	   0.853	       530.997	        62.730	    78.754	   484.171	   306.961	    96.018	     0.211	    18.572	445.034751	445.034751	529.898742	2337.512013
   1.600	   0.848	       535.084	        63.598	    78.165	   491.552	   304.524	    97.102	     0.208	    18.006	449.031602	449.031602	534.204165	2337.591348
   1.800	   0.843	       538.893	        62.920	    77.675	   498.779	   302.946	    98.018	     0.206	    17.471	453.891143	453.891143	539.002388	2337.988147
   2.000	   0.838	       542.131	        62.624	    76.990	   505.832	   299.050	    98.986	     0.203	    16.863	455.668633	455.668633	540.896120	2336.622789
   2.200	   0.833	       544.708	        60.692	    76.293	   512.700	   294.987	    99.806	     0.200	    16.240	458.555142	458.555142	543.616991	2334.385366
   2.400	   0.827	       548.674	        59.963	    75.567	   519.384	   290.386	   100.564	     0.197	    15.612	461.884032	461.884032	547.334847	2333.491092
   2.600	   0.822	       550.197	        56.863	    74.745	   525.889	   284.414	   101.285	     0.194	    14.942	461.834950	461.834950	548.714508	2332.215222
   2.800	   0.817	       555.973	        58.381	    73.594	   532.110	   274.592	   101.969	     0.190	    14.115	468.460956	468.460956	554.294403	2331.280890
   3.000	   0.812	       559.767	        58.133	    72.209	   538.018	   261.831	   102.602	     0.186	    13.183	471.421590	471.421590	557.682837	2330.695705
   3.200	   0.807	       563.814	        57.110	    70.814	   543.578	   248.837	   103.058	     0.181	    12.256	475.596316	475.596316	561.601918	2328.709552
   3.400	   0.802	       567.810	        56.065	    69.273	   548.800	   234.047	   103.447	     0.176	    11.286	476.937434	476.937434	561.325216	2327.870083
   3.600	   0.797	       574.446	        56.936	    67.921	   553.673	   221.685	   103.703	     0.172	    10.462	484.519620	484.519620	571.120245	2326.754666
   3.800	   0.792	       578.965	        56.529	    66.309	   558.207	   206.751	   103.974	     0.167	     9.571	490.891252	490.891252	576.744589	2326.641536
   4.000	   0.787	       585.700	        58.431	    64.753	   562.410	   192.727	   104.196	     0.162	     8.761	497.011126	497.011126	582.948409	2327.729496
   4.200	   0.782	       592.055	        60.407	    63.168	   566.278	   179.151	   104.404	     0.157	     8.010	503.277840	503.277840	589.378080	2328.873049
   4.400	   0.777	       596.678	        60.941	    61.655	   569.852	   166.471	   104.591	     0.153	     7.330	508.504517	508.504517	593.893628	2329.034362
   4.600	   0.772	       601.511	        61.960	    60.164	   573.159	   154.456	   104.760	     0.148	     6.705	512.711117	512.711117	598.934730	2329.143334
   4.800	   0.767	       605.087	        61.732	    58.754	   576.214	   143.742	   104.888	     0.144	     6.157	516.959672	516.959672	602.631261	2328.418505
   5.000	   0.762	       608.304	        61.603	    57.299	   579.034	   132.825	   105.019	     0.140	     5.620	520.506329	520.506329	605.645573	2327.543158
   5.200	   0.757	       610.577	        60.378	    55.864	   581.640	   123.050	   105.099	     0.136	     5.145	523.059952	523.059952	609.592001	2327.587187
   5.400	   0.752	       614.345	        61.395	    54.238	   584.007	   111.346	   105.204	     0.132	     4.608	525.361536	525.361536	611.935100	2326.894259
   5.600	   0.747	       616.115	        60.957	    52.440	   586.117	    98.060	   105.312	     0.127	     4.023	526.820161	526.820161	613.270945	2325.680475
   5.800	   0.742	       618.087	        60.714	    50.671	   587.958	    85.503	   105.373	     0.123	     3.479	527.884038	527.884038	614.919608	2324.886319
   6.000	   0.737	       617.757	        58.877	    48.647	   589.533	    71.401	   105.449	     0.117	     2.886	528.775017	528.775017	615.433553	2322.723411
   6.200	   0.732	       619.265	        58.957	    46.861	   590.849	    59.575	   105.497	     0.113	     2.394	529.412398	529.412398	616.673074	2321.757230
   6.400	   0.727	       620.626	        59.085	    44.782	   591.915	    47.246	   105.512	     0.108	     1.889	530.980292	530.980292	617.658093	2321.934864
   6.600	   0.722	       621.657	        58.958	    42.735	   592.752	    35.315	   105.497	     0.103	     1.406	531.962451	531.962451	618.525933	2321.216013
   6.800	   0.716	       624.619	        60.912	    40.535	   593.350	    22.820	   105.453	     0.097	     0.905	534.557681	534.557681	621.162982	2322.343860
   7.000	   0.711	       627.691	        62.489	    38.613	   593.719	    12.418	   105.332	     0.092	     0.490	535.884361	535.884361	622.838285	2322.382158
   7.200	   0.706	       628.289	        62.009	    36.608	   593.884	     1.525	   105.215	     0.088	     0.060	538.649398	538.649398	625.272274	2322.148969
   7.400	   0.701	       631.175	        63.085	    34.696	   593.850	    -8.372	   104.999	     0.083	    -0.328	541.702046	541.702046	628.084355	2323.048432
   7.600	   0.696	       633.152	        63.391	    32.667	   593.603	   -18.600	   104.760	     0.078	    -0.727	542.022867	542.022867	628.808255	2322.515281
   7.800	   0.691	       633.307	        61.644	    30.644	   593.175	   -27.939	   104.472	     0.073	    -1.088	544.430669	544.430669	630.425693	2321.770618
   8.000	   0.686	       636.144	        62.879	    28.616	   592.564	   -37.133	   104.183	     0.068	    -1.443	546.318875	546.318875	632.744145	2321.521178
   8.200	   0.681	       635.707	        60.671	    26.466	   591.767	   -46.185	   103.847	     0.063	    -1.790	545.504010	545.504010	632.104445	2318.979236
   8.400	   0.676	       637.184	        60.418	    24.261	   590.782	   -55.087	   103.486	     0.057	    -2.131	547.043364	547.043364	633.516765	2318.073927
   8.600	   0.671	       637.885	        59.024	    21.841	   589.618	   -64.895	   103.063	     0.052	    -2.505	547.581728	547.581728	635.304053	2316.971575
   8.800	   0.666	       638.509	        56.624	    19.326	   588.253	   -75.429	   102.527	     0.045	    -2.901	547.916802	547.916802	635.624699	2314.851358
   9.000	   0.661	       641.101	        56.479	    16.433	   586.645	   -89.967	   101.978	     0.039	    -3.452	550.039877	550.039877	636.929373	2313.996226
   9.200	   0.656	       640.198	        54.298	    13.605	   584.705	  -106.754	   101.506	     0.032	    -4.098	546.436290	546.436290	634.041553	2311.607757
   9.400	   0.651	       640.721	        53.678	    10.684	   582.408	  -123.487	   100.989	     0.025	    -4.748	550.895453	550.895453	638.291448	2310.688277
   9.600	   0.646	       642.078	        54.663	     7.956	   579.808	  -136.227	   100.493	     0.019	    -5.257	549.307388	549.307388	637.301623	2310.808584
   9.800	   0.641	       641.695	        54.315	     5.090	   576.937	  -150.530	    99.988	     0.012	    -5.837	550.114064	550.114064	637.886158	2311.259474
  10.000	   0.636	       643.739	        56.586	     2.314	   573.757	  -164.937	    99.451	     0.005	    -6.433	551.064297	551.064297	638.642151	2313.155806
  10.200	   0.631	       643.902	        56.665	    -0.608	   570.234	  -180.350	    98.832	    -0.001	    -7.076	551.679657	551.679657	639.158343	2313.512899
  10.400	   0.626	       642.383	        56.663	    -3.350	   566.326	  -196.784	    98.284	    -0.008	    -7.795	551.051644	551.051644	637.477596	2313.014548
  10.600	   0.621	       640.235	        58.230	    -5.733	   562.070	  -211.972	    97.862	    -0.013	    -8.515	548.969682	548.969682	635.797578	2313.940586
  10.800	   0.616	       633.660	        57.995	    -7.837	   557.449	  -227.229	    97.598	    -0.019	    -9.307	543.183587	543.183587	630.097323	2313.602880
  11.000	   0.611	       628.642	        61.978	    -9.689	   552.480	  -240.902	    97.503	    -0.023	   -10.115	539.645320	539.645320	626.237053	2317.766614
