    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.336	   2360.636	    2360.636	      0.000	      0.000	      0.000
   0.200	      0.334	   2360.634	    2360.634	     -0.210	      0.000	     -0.000
   0.400	      0.334	   2360.634	    2360.634	      0.213	      0.000	      0.000
   0.600	      0.335	   2360.635	    2360.635	      0.037	      0.000	      0.000
   0.800	      0.335	   2360.635	    2360.635	     -0.035	      0.000	     -0.000
   1.000	      0.335	   2360.635	    2360.635	     -0.035	      0.000	     -0.000
   1.200	      0.334	   2360.634	    2360.634	      0.039	      0.000	      0.000
   1.400	      0.335	   2360.635	    2360.635	      0.212	      0.000	      0.000
   1.600	      0.335	   2360.635	    2360.635	     -0.207	      0.000	     -0.000
   1.800	      0.334	   2360.634	    2360.634	     -0.028	      0.000	     -0.000
   2.000	      0.335	   2360.635	    2360.635	      0.216	      0.000	      0.000
   2.200	      0.335	   2360.635	    2360.635	     -0.199	      0.000	     -0.000
   2.400	      0.335	   2360.635	    2360.635	     -0.019	      0.000	     -0.000
   2.600	      0.335	   2360.635	    2360.635	      0.060	      0.000	      0.000
   2.800	      0.336	   2360.636	    2360.636	      0.239	      0.000	      0.000
   3.000	      0.336	   2360.636	    2360.636	     -0.001	      0.000	     -0.000
   3.200	      0.335	   2360.635	    2360.635	     -0.156	      0.000	     -0.000
   3.400	      0.336	   2360.636	    2360.636	      0.269	      0.000	      0.000
   3.600	      0.338	   2360.638	    2360.638	      0.107	      0.000	      0.000
   3.800	      0.337	   2360.637	    2360.637	      0.055	      0.000	      0.000
   4.000	      0.338	   2360.638	    2360.638	      0.314	      0.000	      0.000
   4.200	      0.339	   2360.639	    2360.639	      0.161	      0.000	      0.000
   4.400	      0.341	   2360.641	    2360.641	      0.106	      0.000	      0.000
   4.600	      0.341	   2360.641	    2360.641	     -0.037	      0.000	     -0.000
   4.800	      0.343	   2360.643	    2360.643	      0.403	      0.000	      0.000
   5.000	      0.346	   2360.646	    2360.646	      0.422	      0.000	      0.000
   5.200	      0.346	   2360.646	    2360.646	      0.047	      0.000	      0.000
   5.400	      0.348	   2360.648	    2360.648	      0.253	      0.000	      0.000
   5.600	      0.351	   2360.651	    2360.651	      0.356	      0.000	      0.000
   5.800	      0.354	   2360.654	    2360.654	      0.321	      0.000	      0.000
   6.000	      0.357	   2360.657	    2360.657	      0.362	      0.000	      0.000
   6.200	      0.359	   2360.659	    2360.659	      0.484	      0.000	      0.000
   6.400	      0.364	   2360.664	    2360.664	      0.688	      0.000	      0.000
   6.600	      0.368	   2360.668	    2360.668	      0.326	      0.000	      0.000
   6.800	      0.371	   2360.671	    2360.671	      0.552	      0.000	      0.000
   7.000	      0.377	   2360.677	    2360.677	      0.830	      0.000	      0.000
   7.200	      0.382	   2360.682	    2360.682	      0.710	      0.000	      0.000
   7.400	      0.387	   2360.687	    2360.687	      0.689	      0.000	      0.000
   7.600	      0.393	   2360.692	    2360.692	      0.813	      0.000	      0.000
   7.800	      0.399	   2360.699	    2360.699	      1.020	      0.000	      0.000
   8.000	      0.407	   2360.707	    2360.707	      0.815	      0.000	      0.000
   8.200	      0.412	   2360.712	    2360.712	      0.703	      0.000	      0.000
   8.400	      0.420	   2360.720	    2360.720	      1.141	      0.000	      0.000
   8.600	      0.428	   2360.728	    2360.728	      0.999	      0.000	      0.000
   8.800	      0.435	   2360.735	    2360.735	      0.966	      0.000	      0.000
   9.000	      0.442	   2360.742	    2360.742	      0.989	      0.000	      0.000
   9.200	      0.451	   2360.751	    2360.751	      1.078	      0.000	      0.000
